Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,ESI-1,ESI-2,ESI-3,ESI-4,LDI-1,LDI-2,LDI-3,LDI-4,APCI-1,APCI-2,APCI-3,APCI-4,APPI-1,APPI-2,APPI-3,APPI-4
151.0400725,8,8,3,0,0,0,0,0,CHO,Lignin,152.047349,-0.03185705,1,8243119,8024819,12022702,9945870,0,0,0,0,15581241,10408350,21529866,10769506,0,0,0,0
151.07646,9,12,2,0,0,0,0,0,CHO,Lignin,152.0837365,-0.044958653,1,0,0,0,0,0,0,0,0,0,0,2630924,0,0,0,0,0
152.0115075,0,0,0,0,0,0,0,0,,None,153.018784,0,0,3014126,0,4216813,3049289,0,0,0,0,2447479,0,0,0,0,0,0,0
153.0193344,7,6,4,0,0,0,0,0,CHO,Lignin,154.0266109,-0.014480124,1,10077238,4323702,13277237,6546828,0,0,0,0,15691966,7700001,19373462,7200488,0,2349519,0,0
153.0557213,8,10,3,0,0,0,0,0,CHO,Lignin,154.0629977,-0.022909979,1,8887353,3093625,5824568,5009807,0,0,0,0,5380289,4997668,8393625,4508395,0,0,0,0
154.0271633,0,0,0,0,0,0,0,0,,None,155.0344398,0,0,0,0,0,0,0,0,0,0,2825229,2807406,4277482,0,0,0,0,0
155.0349838,7,8,4,0,0,0,0,0,CHO,Lignin,156.0422602,-0.009431291,1,0,2754072,3441373,2395944,0,0,0,0,4301668,6008514,9151045,4077198,0,2517333,0,0
156.04279,0,0,0,0,0,0,0,0,,None,157.0500665,0,0,0,0,0,0,0,0,0,0,0,0,3867305,0,0,0,0,0
156.066615,7,11,3,1,0,0,0,0,CHON,Protein,157.0738915,0.011190402,1,4559170,0,3491135,0,0,0,0,0,0,0,0,0,0,0,0,0
156.4996,0,0,0,0,0,0,0,0,,None,157.5068765,0,0,0,0,0,0,4540334,0,0,0,0,0,0,0,0,0,0,0
156.55413,0,0,0,0,0,0,0,0,,None,157.5614065,0,0,0,0,0,0,0,2436569,0,0,0,0,0,0,0,0,0,0
157.0035,0,0,0,0,0,0,0,0,,None,158.0107765,0,0,0,0,0,0,2797793,0,0,0,0,0,0,0,0,0,0,0
157.01425,6,6,5,0,0,0,0,0,CHO,Tannin,158.0215265,-0.020021196,1,4042148,0,3977633,0,0,0,0,0,3181605,0,4476690,0,0,0,0,0
157.0498,0,0,0,0,0,0,0,0,,None,158.0570765,0,0,4245928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157.05063,7,10,4,0,0,0,0,0,CHO,Lignin,158.0579065,0.014820644,1,51861928,5206233,37022116,4678881,0,0,0,0,6159401,5212034,9962262,3472980,0,0,0,0
157.05086,0,0,0,0,0,0,0,0,,None,158.0581365,0,0,4657576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157.08703,8,14,3,0,0,0,0,0,CHO,Protein,158.0943065,-0.076860326,1,0,0,0,3053541,0,0,0,0,0,0,0,0,0,0,0,0
157.12258,0,0,0,0,0,0,0,0,,None,158.1298565,0,0,0,5343457,0,6124776,0,0,0,0,0,0,0,0,0,0,0,0
157.12318,0,0,0,0,0,0,0,0,,None,158.1304565,0,0,0,0,4624813,0,0,0,0,0,0,0,0,0,0,0,0,0
157.1234075,9,18,2,0,0,0,0,0,CHO,Lipid,158.130684,-0.026211738,1,17809840,78141152,56543660,70858984,0,0,0,0,5549105,3893898,5714206,3746652,0,0,0,0
157.5074,0,0,0,0,0,0,0,0,,None,158.5146765,0,0,0,0,0,0,3968534,0,0,0,0,0,0,0,0,0,0,0
158.053985,6,10,4,0,1,0,0,0,CHO,Lignin,159.0612615,0.013707423,0,4463384,0,3388180,0,0,0,0,0,0,0,0,0,0,0,0,0
158.12676,8,18,2,0,1,0,0,0,CHO,Lipid,159.1340365,-0.01135571,0,0,8026446,6332957,7844177,0,0,0,0,0,0,0,0,0,0,0,0
159.02905,0,0,0,0,0,0,0,0,,None,160.0363265,0,0,5999758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159.0298983,6,8,5,0,0,0,0,0,CHO,Tannin,160.0371747,-0.008537058,1,77642384,8715190,55413384,4432822,0,0,0,0,13761291,8155231,24127492,4346679,3543305,4245291,3726233,2884169
159.03013,0,0,0,0,0,0,0,0,,None,160.0374065,0,0,7314062,0,0,0,0,0,0,0,0,0,2548741,0,0,0,0,0
159.06629,7,12,4,0,0,0,0,0,CHO,AminoSugar,160.0735665,-0.047436189,1,0,3291579,4234894,2828474,0,0,0,0,0,2874467,2909961,0,0,0,0,0
159.10266,8,16,3,0,0,0,0,0,CHO,Protein,160.1099365,0.049422417,1,0,0,0,0,0,0,0,0,0,0,2393870,0,0,0,0,0
160.033255,5,8,5,0,1,0,0,0,CHO,Tannin,161.0405315,-0.020254404,0,5114640,0,3245835,0,0,0,0,0,0,0,0,0,0,0,0,0
160.03773,0,0,0,0,0,0,0,0,,None,161.0450065,0,0,0,0,0,0,0,0,0,0,2639499,3431900,5632140,0,0,0,0,0
161.0244133,9,6,3,0,0,0,0,0,CHO,ConHC,162.0316898,0.026283048,1,3730329,0,0,0,0,2402807,0,2818759,4087826,2970462,5444378,0,0,0,0,0
161.04467,0,0,0,0,0,0,0,0,,None,162.0519465,0,0,0,0,3627414,0,0,0,0,0,0,0,0,0,0,0,0,0
161.045305,0,0,0,0,0,0,0,0,,None,162.0525815,0,0,0,0,0,2685615,0,0,0,0,0,0,3314973,0,0,0,0,0
161.0455484,6,10,5,0,0,0,0,0,CHO,Carb,162.0528249,-0.009011753,1,20036508,30167226,40786836,31824558,0,0,0,0,15275028,21127522,38992156,14869569,8442320,19262722,6459792,9838308
161.04578,0,0,0,0,0,0,0,0,,None,162.0530565,0,0,0,2993338,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161.06077,10,10,2,0,0,0,0,0,CHO,Lignin,162.0680465,0.204224835,1,0,0,0,0,0,2852861,0,0,0,0,0,0,0,0,0,0
161.06268,0,0,0,0,0,0,0,0,,None,162.0699565,0,0,0,0,3470744,0,0,0,0,0,0,0,0,0,0,0,0,0
161.08193,7,14,4,0,0,0,0,0,CHO,AminoSugar,162.0892065,0.015244198,1,0,0,4620699,0,0,0,0,0,0,0,0,0,0,0,0,0
161.5492,0,0,0,0,0,0,0,0,,None,162.5564765,0,0,0,0,0,0,0,0,0,2727955,0,0,0,0,0,0,0,0
162.0322425,0,0,0,0,0,0,0,0,,None,163.039519,0,0,5724718,2648646,4369959,4007989,0,0,0,0,12274852,5546989,10026420,3661009,0,0,0,0
162.048905,5,10,5,0,1,0,0,0,CHO,Carb,163.0561815,-0.019610296,0,0,0,2518057,0,0,0,0,0,0,0,2992823,0,0,0,0,0
162.0533725,0,0,0,0,0,0,0,0,,None,163.060649,0,0,0,0,0,0,0,0,0,0,4408999,11065840,15890871,5588180,0,0,0,0
163.02481,5,8,6,0,0,0,0,0,CHO,Other,164.0320865,0.009281843,1,2693065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163.040062,9,8,3,0,0,0,0,0,CHO,Lignin,164.0473385,0.034479194,1,13936844,5407711,12752068,4303303,0,3722791,0,3671802,14017855,8474244,21197400,5932397,0,0,0,0
163.0611971,6,12,5,0,0,0,0,0,CHO,Carb,164.0684736,-0.000695058,1,9734351,0,9946311,3002571,0,0,0,0,25513282,7796360,37128796,6465904,0,0,0,0
163.50742,0,0,0,0,0,0,0,0,,None,164.5146965,0,0,0,0,0,0,3261240,0,0,0,0,0,0,0,0,0,0,0
164.01151,0,0,0,0,0,0,0,0,,None,165.0187865,0,0,0,0,0,0,0,0,0,0,2784990,0,4430080,0,0,0,0,0
164.04789,0,0,0,0,0,0,0,0,,None,165.0551665,0,0,0,0,0,0,0,0,0,0,7816164,3715365,10778374,3616274,0,0,0,0
165.019327,8,6,4,0,0,0,0,0,CHO,ConHC,166.0266035,0.031405328,1,5821470,0,7055892,5263104,2486197,0,0,0,6585995,5962184,8206263,5392058,0,2755071,2456541,0
165.0404582,5,10,6,0,0,0,0,0,CHO,Other,166.0477346,0.020546622,1,7491618,5264168,12381720,4571395,0,0,0,0,0,0,0,0,3862446,4408066,3355872,3042135
165.055716,9,10,3,0,0,0,0,0,CHO,Lignin,166.0629925,0.010360044,1,7346724,6134570,12112410,8765701,0,4552827,0,4136531,9289362,9715662,17101758,7630528,0,0,0,0
165.0921,10,14,2,0,0,0,0,0,CHO,Lignin,166.0993765,0.019426443,1,0,0,0,0,0,0,0,0,0,0,2555845,0,0,0,0,0
165.53366,0,0,0,0,0,0,0,0,,None,166.5409365,0,0,0,0,0,0,2527887,0,0,0,0,0,0,0,0,0,0,0
166.02716,0,0,0,0,0,0,0,0,,None,167.0344365,0,0,10316503,3929046,8859341,7450027,0,0,0,0,14503746,5343866,17380472,5794161,0,0,0,0
166.998595,7,4,5,0,0,0,0,0,CHO,ConHC,168.0058715,0.010547369,1,0,0,0,0,0,0,0,0,6146042,0,3925307,0,0,0,0,0
167.00199,0,0,0,0,0,0,0,0,,None,168.0092665,0,0,2646164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167.0342,0,0,0,0,0,0,0,0,,None,168.0414765,0,0,0,0,0,0,0,0,0,0,0,0,2873154,0,0,0,0,0
167.0349764,8,8,4,0,0,0,0,0,CHO,Lignin,168.0422529,0.034811177,1,16590746,10156178,20289422,16506463,0,3491821,2507112,3334089,19380226,13162804,31092034,11243568,0,5816877,2446394,2817071
167.071364,9,12,3,0,0,0,0,0,CHO,Lignin,168.0786405,0.02251696,1,0,0,2583446,0,0,0,0,0,4510728,4590907,6711626,3410488,0,0,0,0
168.006418,0,0,0,0,0,0,0,0,,None,169.0136945,0,0,2951774,0,2873682,0,0,0,0,0,22702274,0,17167886,0,0,0,5380590,0
168.03834,7,8,4,0,1,0,0,0,CHO,Lignin,169.0456165,-0.017059774,0,0,0,0,0,0,0,0,0,0,0,3411733,0,0,0,0,0
168.0428075,0,0,0,0,0,0,0,0,,None,169.050084,0,0,0,0,0,0,0,0,0,0,16949450,6118392,17962518,7540985,0,0,0,0
168.07921,0,0,0,0,0,0,0,0,,None,169.0864865,0,0,0,0,0,0,0,0,0,0,2854609,0,0,0,0,0,0,0
168.98122,0,0,0,0,0,0,0,0,,None,169.9884965,0,0,2751276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169.01234,0,0,0,0,0,0,0,0,,None,170.0196165,0,0,3132210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169.013275,0,0,0,0,0,0,0,0,,None,170.0205515,0,0,14614834,0,10943780,0,0,0,0,0,0,0,0,0,0,0,0,0
169.0134618,0,0,0,0,0,0,0,0,,None,170.0207382,0,0,0,0,0,0,0,0,0,0,2882707,0,3505899,0,2444275,0,3794096,0
169.0142513,7,6,5,0,0,0,0,0,CHO,Tannin,170.0215278,-0.026380239,1,216883504,18550298,157507872,32657368,10490159,0,7982072,0,31666578,6328508,28430058,5593539,29074930,26497394,50621104,7708186
169.01451,0,0,0,0,0,0,0,0,,None,170.0217865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2696561,0,0
169.0506289,8,10,4,0,0,0,0,0,CHO,Lignin,170.0579054,0.02030856,1,7215419,4245026,6327596,4637663,0,0,0,0,5897626,9071299,11337459,5600203,0,3136376,0,0
169.06595,12,10,1,0,0,0,0,0,CHO,UnsatHC,170.0732265,-0.361748767,1,0,0,0,0,0,2573196,0,0,0,0,0,0,0,0,0,0
169.087018,9,14,3,0,0,0,0,0,CHO,Protein,170.0942945,-0.000888801,1,0,0,0,2663399,0,0,0,0,3037090,2566859,3708667,3334098,0,0,0,0
169.1234014,10,18,2,0,0,0,0,0,CHO,Lipid,170.1306779,0.011323934,1,2488650,0,7030076,3679726,0,0,0,0,4574122,4073170,5005571,4228570,0,0,0,0
170.0176027,6,6,5,0,1,0,0,0,CHO,Tannin,171.0248792,-0.006193914,0,16577039,0,11971071,0,0,0,0,0,2426475,0,2512335,0,2623637,0,4254586,0
170.05846,0,0,0,0,0,0,0,0,,None,171.0657365,0,0,0,0,0,0,0,0,0,0,0,2731927,3354073,0,0,0,0,0
170.5545233,0,0,0,0,0,0,0,0,,None,171.5617998,0,0,0,0,0,0,0,7101139,2896199,7020473,0,0,0,0,0,0,0,0
170.555565,0,0,0,0,0,0,0,0,,None,171.5628415,0,0,0,0,0,0,0,3082963,0,3329465,0,0,0,0,0,0,0,0
170.9911,0,0,0,0,0,0,0,0,,None,171.9983765,0,0,0,3683267,10021595,0,0,0,0,0,0,0,0,0,0,0,0,0
170.9969,0,0,0,0,0,0,0,0,,None,172.0041765,0,0,3502061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171.0299022,7,8,5,0,0,0,0,0,CHO,Tannin,172.0371787,-0.030934024,1,2941173,3466956,4369125,2637944,0,0,0,0,4928846,4142187,7574719,2526335,0,2469591,0,0
171.04516,11,8,2,0,0,0,0,0,CHO,ConHC,172.0524365,-0.040486959,1,0,0,0,0,0,3929922,0,0,0,0,0,0,0,0,0,0
171.0662757,8,12,4,0,0,0,0,0,CHO,Protein,172.0735522,0.03889287,1,3358462,3854292,4612333,3686016,0,0,0,0,0,3568243,6075080,3496327,0,0,0,0
171.102665,9,16,3,0,0,0,0,0,CHO,Protein,172.1099415,0.016925344,1,2601734,6712796,5112565,8026504,0,0,0,0,4955998,2437755,0,0,0,0,0,0
171.1371,0,0,0,0,0,0,0,0,,None,172.1443765,0,0,3168526,4325860,5591293,13685135,0,0,0,0,0,0,0,0,0,0,0,0
171.1380575,0,0,0,0,0,0,0,0,,None,172.145334,0,0,18166542,29188068,36061948,93020560,0,0,0,0,0,0,0,0,0,0,0,0
171.13824,0,0,0,0,0,0,0,0,,None,172.1455165,0,0,0,0,0,0,0,0,0,0,6298470,3189379,8607961,9045911,0,0,0,0
171.138785,0,0,0,0,0,0,0,0,,None,172.1460615,0,0,0,0,0,0,0,0,0,0,5112679,0,7901401,0,0,0,0,0
171.1390511,10,20,2,0,0,0,0,0,CHO,Lipid,172.1463276,0.013408412,1,261939984,456843232,526770944,1455153536,0,0,0,0,76030824,45289604,100344024,126705560,0,4606699,0,0
171.13932,0,0,0,0,0,0,0,0,,None,172.1465965,0,0,0,0,0,0,0,0,0,0,6462311,3610755,0,0,0,0,0,0
172.141395,0,0,0,0,0,0,0,0,,None,173.1486715,0,0,0,0,3376618,9390699,0,0,0,0,0,0,0,0,0,0,0,0
172.1424088,9,20,2,0,1,0,0,0,CHO,Lipid,173.1496852,-0.002846555,0,29479932,43663560,59704296,148546160,0,0,0,0,8509520,5587815,10756560,14194818,0,0,0,0
172.14268,0,0,0,0,0,0,0,0,,None,173.1499565,0,0,0,3869897,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172.14532,0,0,0,0,0,0,0,0,,None,173.1525965,0,0,0,0,0,3326572,0,0,0,0,0,0,0,0,0,0,0,0
172.54904,0,0,0,0,0,0,0,0,,None,173.5563165,0,0,0,0,0,0,0,0,2479125,0,0,0,0,0,0,0,0,0
172.95792,0,0,0,0,0,0,0,0,,None,173.9651965,0,0,0,0,0,2962724,0,0,0,0,0,0,0,0,0,0,0,0
173.0091608,6,6,6,0,0,0,0,0,CHO,Tannin,174.0164373,0.003687314,1,46027984,0,21075132,0,0,0,0,0,6116129,0,5594285,0,6766751,0,9123330,0
173.00943,0,0,0,0,0,0,0,0,,None,174.0167065,0,0,3855568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173.0455467,7,10,5,0,0,0,0,0,CHO,Tannin,174.0528231,0.001711856,1,11749593,5663646,12105926,5679928,0,0,0,0,5485354,5625915,10529462,4192092,0,3274328,0,0
173.06081,11,10,2,0,0,0,0,0,CHO,Lignin,174.0680865,-0.039649313,1,0,0,0,0,0,4861219,0,3656720,0,0,0,0,0,0,0,0
173.08193,8,14,4,0,0,0,0,0,CHO,Protein,174.0892065,0.014193413,1,0,3488678,4555983,3765056,0,0,0,0,2608691,3618884,4649663,4159333,0,0,0,0
173.1183167,9,18,3,0,0,0,0,0,CHO,Protein,174.1255931,0.007526483,1,0,6425007,4868824,4580681,0,0,0,0,0,0,0,0,0,0,0,0
173.1433,0,0,0,0,0,0,0,0,,None,174.1505765,0,0,0,0,0,6557518,0,0,0,0,0,0,0,0,0,0,0,0
173.145755,0,0,0,0,0,0,0,0,,None,174.1530315,0,0,0,0,3089119,8544079,0,0,0,0,0,0,0,0,0,0,0,0
173.53869,0,0,0,0,0,0,0,0,,None,174.5459665,0,0,0,0,0,0,2444592,0,0,0,0,0,0,0,0,0,0,0
174.01251,5,6,6,0,1,0,0,0,CHO,Tannin,175.0197865,0.035973761,0,2993613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174.03225,0,0,0,0,0,0,0,0,,None,175.0395265,0,0,0,0,0,0,0,0,0,0,2507295,2467882,4239289,0,0,0,0,0
175.005545,0,0,0,0,0,0,0,0,,None,176.0128215,0,0,4457680,0,4287674,0,0,0,0,0,0,0,0,0,0,0,0,0
175.0248035,6,8,6,0,0,0,0,0,CHO,Tannin,176.03208,0.045384834,1,10686165,2507398,7810751,2744077,0,0,0,0,9585438,0,8481990,0,3828253,2841323,8351708,0
175.0400813,10,8,3,0,0,0,0,0,CHO,Lignin,176.0473577,-0.077216609,1,0,0,0,0,2896552,6460187,4236676,5372430,5799714,4330533,9870538,3695955,0,0,0,0
175.06014,0,0,0,0,0,0,0,0,,None,176.0674165,0,0,2928862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175.06091,0,0,0,0,0,0,0,0,,None,176.0681865,0,0,0,0,3970760,0,0,0,0,0,0,0,0,0,0,0,0,0
175.0611994,7,12,5,0,0,0,0,0,CHO,Carb,176.0684758,-0.013223962,1,43669216,6560655,44222152,4131606,0,0,0,0,0,2960427,0,0,3123236,0,3501029,0
175.07647,11,12,2,0,0,0,0,0,CHO,Lignin,176.0837465,-0.095622,1,0,0,0,0,0,4017956,0,0,0,0,2452180,0,0,0,0,0
175.097585,8,16,4,0,0,0,0,0,CHO,Protein,176.1048615,-0.013996661,1,0,0,2486738,2536991,0,0,0,0,0,0,0,0,0,0,0,0
176.0115067,0,0,0,0,0,0,0,0,,None,177.0187831,0,0,0,0,4135878,3451905,0,0,0,0,5009954,3024927,11666905,3731028,0,0,0,0
176.03264,0,0,0,0,0,0,0,0,,None,177.0399165,0,0,0,0,0,0,0,0,0,0,0,0,3239903,0,0,0,0,0
176.04789,0,0,0,0,0,0,0,0,,None,177.0551665,0,0,0,0,0,0,0,0,0,0,0,0,3738083,0,0,0,0,0
176.064545,6,12,5,0,1,0,0,0,CHO,Carb,177.0718215,0.038778728,0,3249388,0,3979220,0,0,0,0,0,0,0,0,0,0,0,0,0
176.1063589,0,0,0,0,0,0,0,0,,None,177.1136354,0,0,0,0,0,0,16346558,9804855,6682781,9202990,7584828,4751160,2423540,9663597,0,0,9389286,0
177.0193452,9,6,4,0,0,0,0,0,CHO,ConHC,178.0266217,-0.073018368,1,24758516,7367056,38295772,13283074,4181171,3136050,2890389,3215915,12058932,5080618,17620730,5205350,2403502,3314074,3485646,0
177.03834,0,0,0,0,0,0,0,0,,None,178.0456165,0,0,2924793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177.03939,0,0,0,0,0,0,0,0,,None,178.0466665,0,0,17375482,0,13773024,0,0,0,0,0,0,0,0,0,0,0,0,0
177.0395967,0,0,0,0,0,0,0,0,,None,178.0468731,0,0,0,0,0,0,0,0,0,0,4204858,0,4538112,0,0,0,5531603,0
177.0401749,0,0,0,0,0,0,0,0,,None,178.0474514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4387763,0,0,0
177.040462,6,10,6,0,0,0,0,0,CHO,Carb,178.0477385,-0.002321175,1,260991232,27952534,205285600,17053448,0,0,0,0,45152568,8155695,54200064,3199852,53922740,11837342,82018768,13602450
177.0407456,0,0,0,0,0,0,0,0,,None,178.048022,0,0,0,2663829,0,0,0,0,0,0,0,0,4919040,0,3957683,0,0,0
177.0548325,0,0,0,0,0,0,0,0,,None,178.062109,0,0,0,0,0,0,0,0,0,0,7775550,2568243,7064325,2440560,0,0,0,0
177.0557231,10,10,3,0,0,0,0,0,CHO,Lignin,178.0629995,-0.030082067,1,16156926,10030489,17266916,13371148,2784316,7681852,3647647,5820470,93112640,31127092,84018952,29697392,0,2377122,0,0
177.056,0,0,0,0,0,0,0,0,,None,178.0632765,0,0,0,0,0,0,0,0,0,0,7729470,0,7235333,0,0,0,0,0
177.0768467,7,14,5,0,0,0,0,0,CHO,Carb,178.0841231,0.002394112,1,0,0,0,0,0,0,0,0,0,3244089,9937675,3194742,0,0,0,0
177.0921,11,14,2,0,0,0,0,0,CHO,Lignin,178.0993765,0.018117526,1,0,0,0,2517013,0,0,0,0,0,0,0,0,0,0,0,0
178.0227,8,6,4,0,1,0,0,0,CHO,ConHC,179.0299765,-0.072323531,0,2526224,0,3754998,0,0,0,0,0,0,0,0,0,0,0,0,0
178.027165,0,0,0,0,0,0,0,0,,None,179.0344415,0,0,0,0,0,0,0,0,0,0,6589006,2914363,7996452,3767423,0,0,0,0
178.04382,5,10,6,0,1,0,0,0,CHO,Carb,179.0510964,-0.019857348,0,16816662,0,13625852,0,0,0,0,0,0,0,3851304,0,4196485,0,5975769,0
178.04829,0,0,0,0,0,0,0,0,,None,179.0555665,0,0,0,0,0,0,0,0,0,0,11575892,7489345,23664682,4201606,0,3207809,0,0
178.0590717,9,10,3,0,1,0,0,0,CHO,Lignin,179.0663481,0.0049789,0,0,0,2852352,2432019,0,0,0,0,11222615,3909444,9766957,3285128,0,0,0,0
178.063545,0,0,0,0,0,0,0,0,,None,179.0708215,0,0,0,0,0,0,0,0,0,0,6427224,3035461,6411310,2599562,0,0,0,0
178.96318,0,0,0,0,0,0,0,0,,None,179.9704565,0,0,4351266,0,6348550,0,0,0,0,0,0,0,0,0,0,0,0,0
178.9985914,8,4,5,0,0,0,0,0,CHO,ConHC,180.0058679,0.029684858,1,31882028,3093938,12907280,7429392,0,0,0,0,5315941,0,5083466,0,0,0,4757464,0
179.03409,0,0,0,0,0,0,0,0,,None,180.0413665,0,0,0,0,0,0,0,0,0,0,3578735,0,3161429,0,0,0,0,0
