Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,SAMPLE A,SAMPLE B,SAMPLE C,SAMPLE D
150.50039,0,0,0,0,0,0,0,0,,None,151.5076665,0,0,0,0,0,0
150.50126,0,0,0,0,0,0,0,0,,None,151.5085365,0,0,0,0,0,0
151.00126,0,0,0,0,0,0,0,0,,None,152.0085365,0,0,0,0,0,0
151.0037,7,4,4,0,0,0,0,0,CHO,ConHC,152.0109765,-0.117426257,1,3159468,0,0,0
151.01341,0,0,0,0,0,0,0,0,,None,152.0206865,0,0,3528621,0,0,0
151.0400725,8,8,3,0,0,0,0,0,CHO,Lignin,152.047349,-0.03185705,1,8243119,8024819,12022702,9945870
151.07646,9,12,2,0,0,0,0,0,CHO,Lignin,152.0837365,-0.044958653,1,0,0,0,0
152.0115075,0,0,0,0,0,0,0,0,,None,153.018784,0,0,3014126,0,4216813,3049289
153.0193344,7,6,4,0,0,0,0,0,CHO,Lignin,154.0266109,-0.014480124,1,10077238,4323702,13277237,6546828
153.0557213,8,10,3,0,0,0,0,0,CHO,Lignin,154.0629977,-0.022909979,1,8887353,3093625,5824568,5009807
154.0271633,0,0,0,0,0,0,0,0,,None,155.0344398,0,0,0,0,0,0
155.0349838,7,8,4,0,0,0,0,0,CHO,Lignin,156.0422602,-0.009431291,1,0,2754072,3441373,2395944
156.04279,0,0,0,0,0,0,0,0,,None,157.0500665,0,0,0,0,0,0
156.066615,7,11,3,1,0,0,0,0,CHON,Protein,157.0738915,0.011190402,1,4559170,0,3491135,0
156.4996,0,0,0,0,0,0,0,0,,None,157.5068765,0,0,0,0,0,0
156.55413,0,0,0,0,0,0,0,0,,None,157.5614065,0,0,0,0,0,0
157.0035,0,0,0,0,0,0,0,0,,None,158.0107765,0,0,0,0,0,0
157.01425,6,6,5,0,0,0,0,0,CHO,Tannin,158.0215265,-0.020021196,1,4042148,0,3977633,0
157.0498,0,0,0,0,0,0,0,0,,None,158.0570765,0,0,4245928,0,0,0
157.05063,7,10,4,0,0,0,0,0,CHO,Lignin,158.0579065,0.014820644,1,51861928,5206233,37022116,4678881
157.05086,0,0,0,0,0,0,0,0,,None,158.0581365,0,0,4657576,0,0,0
157.08703,8,14,3,0,0,0,0,0,CHO,Protein,158.0943065,-0.076860326,1,0,0,0,3053541
157.12258,0,0,0,0,0,0,0,0,,None,158.1298565,0,0,0,5343457,0,6124776
157.12318,0,0,0,0,0,0,0,0,,None,158.1304565,0,0,0,0,4624813,0
157.1234075,9,18,2,0,0,0,0,0,CHO,Lipid,158.130684,-0.026211738,1,17809840,78141152,56543660,70858984
157.5074,0,0,0,0,0,0,0,0,,None,158.5146765,0,0,0,0,0,0
158.053985,6,10,4,0,1,0,0,0,CHO,Lignin,159.0612615,0.013707423,0,4463384,0,3388180,0
158.12676,8,18,2,0,1,0,0,0,CHO,Lipid,159.1340365,-0.01135571,0,0,8026446,6332957,7844177
159.02905,0,0,0,0,0,0,0,0,,None,160.0363265,0,0,5999758,0,0,0
159.0298983,6,8,5,0,0,0,0,0,CHO,Tannin,160.0371747,-0.008537058,1,77642384,8715190,55413384,4432822
159.03013,0,0,0,0,0,0,0,0,,None,160.0374065,0,0,7314062,0,0,0
159.06629,7,12,4,0,0,0,0,0,CHO,AminoSugar,160.0735665,-0.047436189,1,0,3291579,4234894,2828474
159.10266,8,16,3,0,0,0,0,0,CHO,Protein,160.1099365,0.049422417,1,0,0,0,0
160.033255,5,8,5,0,1,0,0,0,CHO,Tannin,161.0405315,-0.020254404,0,5114640,0,3245835,0
160.03773,0,0,0,0,0,0,0,0,,None,161.0450065,0,0,0,0,0,0
161.0244133,9,6,3,0,0,0,0,0,CHO,ConHC,162.0316898,0.026283048,1,3730329,0,0,0
161.04467,0,0,0,0,0,0,0,0,,None,162.0519465,0,0,0,0,3627414,0
161.045305,0,0,0,0,0,0,0,0,,None,162.0525815,0,0,0,0,0,2685615
161.0455484,6,10,5,0,0,0,0,0,CHO,Carb,162.0528249,-0.009011753,1,20036508,30167226,40786836,31824558
161.04578,0,0,0,0,0,0,0,0,,None,162.0530565,0,0,0,2993338,0,0
161.06077,10,10,2,0,0,0,0,0,CHO,Lignin,162.0680465,0.204224835,1,0,0,0,0
161.06268,0,0,0,0,0,0,0,0,,None,162.0699565,0,0,0,0,3470744,0
161.08193,7,14,4,0,0,0,0,0,CHO,AminoSugar,162.0892065,0.015244198,1,0,0,4620699,0
161.5492,0,0,0,0,0,0,0,0,,None,162.5564765,0,0,0,0,0,0
162.0322425,0,0,0,0,0,0,0,0,,None,163.039519,0,0,5724718,2648646,4369959,4007989
162.048905,5,10,5,0,1,0,0,0,CHO,Carb,163.0561815,-0.019610296,0,0,0,2518057,0
162.0533725,0,0,0,0,0,0,0,0,,None,163.060649,0,0,0,0,0,0
163.02481,5,8,6,0,0,0,0,0,CHO,Other,164.0320865,0.009281843,1,2693065,0,0,0
163.040062,9,8,3,0,0,0,0,0,CHO,Lignin,164.0473385,0.034479194,1,13936844,5407711,12752068,4303303
163.0611971,6,12,5,0,0,0,0,0,CHO,Carb,164.0684736,-0.000695058,1,9734351,0,9946311,3002571
163.50742,0,0,0,0,0,0,0,0,,None,164.5146965,0,0,0,0,0,0
164.01151,0,0,0,0,0,0,0,0,,None,165.0187865,0,0,0,0,0,0
164.04789,0,0,0,0,0,0,0,0,,None,165.0551665,0,0,0,0,0,0
165.019327,8,6,4,0,0,0,0,0,CHO,ConHC,166.0266035,0.031405328,1,5821470,0,7055892,5263104
165.0404582,5,10,6,0,0,0,0,0,CHO,Other,166.0477346,0.020546622,1,7491618,5264168,12381720,4571395
165.055716,9,10,3,0,0,0,0,0,CHO,Lignin,166.0629925,0.010360044,1,7346724,6134570,12112410,8765701
165.0921,10,14,2,0,0,0,0,0,CHO,Lignin,166.0993765,0.019426443,1,0,0,0,0
165.53366,0,0,0,0,0,0,0,0,,None,166.5409365,0,0,0,0,0,0
166.02716,0,0,0,0,0,0,0,0,,None,167.0344365,0,0,10316503,3929046,8859341,7450027
166.998595,7,4,5,0,0,0,0,0,CHO,ConHC,168.0058715,0.010547369,1,0,0,0,0
167.00199,0,0,0,0,0,0,0,0,,None,168.0092665,0,0,2646164,0,0,0
167.0342,0,0,0,0,0,0,0,0,,None,168.0414765,0,0,0,0,0,0
167.0349764,8,8,4,0,0,0,0,0,CHO,Lignin,168.0422529,0.034811177,1,16590746,10156178,20289422,16506463
167.071364,9,12,3,0,0,0,0,0,CHO,Lignin,168.0786405,0.02251696,1,0,0,2583446,0
168.006418,0,0,0,0,0,0,0,0,,None,169.0136945,0,0,2951774,0,2873682,0
168.03834,7,8,4,0,1,0,0,0,CHO,Lignin,169.0456165,-0.017059774,0,0,0,0,0
168.0428075,0,0,0,0,0,0,0,0,,None,169.050084,0,0,0,0,0,0
168.07921,0,0,0,0,0,0,0,0,,None,169.0864865,0,0,0,0,0,0
168.98122,0,0,0,0,0,0,0,0,,None,169.9884965,0,0,2751276,0,0,0
169.01234,0,0,0,0,0,0,0,0,,None,170.0196165,0,0,3132210,0,0,0
169.013275,0,0,0,0,0,0,0,0,,None,170.0205515,0,0,14614834,0,10943780,0
169.0134618,0,0,0,0,0,0,0,0,,None,170.0207382,0,0,0,0,0,0
169.0142513,7,6,5,0,0,0,0,0,CHO,Tannin,170.0215278,-0.026380239,1,216883504,18550298,157507872,32657368
169.01451,0,0,0,0,0,0,0,0,,None,170.0217865,0,0,0,0,0,0
169.0506289,8,10,4,0,0,0,0,0,CHO,Lignin,170.0579054,0.02030856,1,7215419,4245026,6327596,4637663
169.06595,12,10,1,0,0,0,0,0,CHO,UnsatHC,170.0732265,-0.361748767,1,0,0,0,0
169.087018,9,14,3,0,0,0,0,0,CHO,Protein,170.0942945,-0.000888801,1,0,0,0,2663399
169.1234014,10,18,2,0,0,0,0,0,CHO,Lipid,170.1306779,0.011323934,1,2488650,0,7030076,3679726
170.0176027,6,6,5,0,1,0,0,0,CHO,Tannin,171.0248792,-0.006193914,0,16577039,0,11971071,0
170.05846,0,0,0,0,0,0,0,0,,None,171.0657365,0,0,0,0,0,0
170.5545233,0,0,0,0,0,0,0,0,,None,171.5617998,0,0,0,0,0,0
170.555565,0,0,0,0,0,0,0,0,,None,171.5628415,0,0,0,0,0,0
170.9911,0,0,0,0,0,0,0,0,,None,171.9983765,0,0,0,3683267,10021595,0
170.9969,0,0,0,0,0,0,0,0,,None,172.0041765,0,0,3502061,0,0,0
171.0299022,7,8,5,0,0,0,0,0,CHO,Tannin,172.0371787,-0.030934024,1,2941173,3466956,4369125,2637944
171.04516,11,8,2,0,0,0,0,0,CHO,ConHC,172.0524365,-0.040486959,1,0,0,0,0
171.0662757,8,12,4,0,0,0,0,0,CHO,Protein,172.0735522,0.03889287,1,3358462,3854292,4612333,3686016
171.102665,9,16,3,0,0,0,0,0,CHO,Protein,172.1099415,0.016925344,1,2601734,6712796,5112565,8026504
171.1371,0,0,0,0,0,0,0,0,,None,172.1443765,0,0,3168526,4325860,5591293,13685135
171.1380575,0,0,0,0,0,0,0,0,,None,172.145334,0,0,18166542,29188068,36061948,93020560
171.13824,0,0,0,0,0,0,0,0,,None,172.1455165,0,0,0,0,0,0
171.138785,0,0,0,0,0,0,0,0,,None,172.1460615,0,0,0,0,0,0
171.1390511,10,20,2,0,0,0,0,0,CHO,Lipid,172.1463276,0.013408412,1,261939984,456843232,526770944,1455153536
171.13932,0,0,0,0,0,0,0,0,,None,172.1465965,0,0,0,0,0,0
172.141395,0,0,0,0,0,0,0,0,,None,173.1486715,0,0,0,0,3376618,9390699
172.1424088,9,20,2,0,1,0,0,0,CHO,Lipid,173.1496852,-0.002846555,0,29479932,43663560,59704296,148546160
172.14268,0,0,0,0,0,0,0,0,,None,173.1499565,0,0,0,3869897,0,0
172.14532,0,0,0,0,0,0,0,0,,None,173.1525965,0,0,0,0,0,3326572
172.54904,0,0,0,0,0,0,0,0,,None,173.5563165,0,0,0,0,0,0
172.95792,0,0,0,0,0,0,0,0,,None,173.9651965,0,0,0,0,0,2962724
173.0091608,6,6,6,0,0,0,0,0,CHO,Tannin,174.0164373,0.003687314,1,46027984,0,21075132,0
173.00943,0,0,0,0,0,0,0,0,,None,174.0167065,0,0,3855568,0,0,0
173.0455467,7,10,5,0,0,0,0,0,CHO,Tannin,174.0528231,0.001711856,1,11749593,5663646,12105926,5679928
173.06081,11,10,2,0,0,0,0,0,CHO,Lignin,174.0680865,-0.039649313,1,0,0,0,0
173.08193,8,14,4,0,0,0,0,0,CHO,Protein,174.0892065,0.014193413,1,0,3488678,4555983,3765056
173.1183167,9,18,3,0,0,0,0,0,CHO,Protein,174.1255931,0.007526483,1,0,6425007,4868824,4580681
173.1433,0,0,0,0,0,0,0,0,,None,174.1505765,0,0,0,0,0,6557518
173.145755,0,0,0,0,0,0,0,0,,None,174.1530315,0,0,0,0,3089119,8544079
173.53869,0,0,0,0,0,0,0,0,,None,174.5459665,0,0,0,0,0,0
174.01251,5,6,6,0,1,0,0,0,CHO,Tannin,175.0197865,0.035973761,0,2993613,0,0,0
174.03225,0,0,0,0,0,0,0,0,,None,175.0395265,0,0,0,0,0,0
175.005545,0,0,0,0,0,0,0,0,,None,176.0128215,0,0,4457680,0,4287674,0
175.0248035,6,8,6,0,0,0,0,0,CHO,Tannin,176.03208,0.045384834,1,10686165,2507398,7810751,2744077
175.0400813,10,8,3,0,0,0,0,0,CHO,Lignin,176.0473577,-0.077216609,1,0,0,0,0
175.06014,0,0,0,0,0,0,0,0,,None,176.0674165,0,0,2928862,0,0,0
175.06091,0,0,0,0,0,0,0,0,,None,176.0681865,0,0,0,0,3970760,0
175.0611994,7,12,5,0,0,0,0,0,CHO,Carb,176.0684758,-0.013223962,1,43669216,6560655,44222152,4131606
175.07647,11,12,2,0,0,0,0,0,CHO,Lignin,176.0837465,-0.095622,1,0,0,0,0
175.097585,8,16,4,0,0,0,0,0,CHO,Protein,176.1048615,-0.013996661,1,0,0,2486738,2536991
176.0115067,0,0,0,0,0,0,0,0,,None,177.0187831,0,0,0,0,4135878,3451905
176.03264,0,0,0,0,0,0,0,0,,None,177.0399165,0,0,0,0,0,0
176.04789,0,0,0,0,0,0,0,0,,None,177.0551665,0,0,0,0,0,0
176.064545,6,12,5,0,1,0,0,0,CHO,Carb,177.0718215,0.038778728,0,3249388,0,3979220,0
176.1063589,0,0,0,0,0,0,0,0,,None,177.1136354,0,0,0,0,0,0
177.0193452,9,6,4,0,0,0,0,0,CHO,ConHC,178.0266217,-0.073018368,1,24758516,7367056,38295772,13283074
177.03834,0,0,0,0,0,0,0,0,,None,178.0456165,0,0,2924793,0,0,0
177.03939,0,0,0,0,0,0,0,0,,None,178.0466665,0,0,17375482,0,13773024,0
177.0395967,0,0,0,0,0,0,0,0,,None,178.0468731,0,0,0,0,0,0
177.0401749,0,0,0,0,0,0,0,0,,None,178.0474514,0,0,0,0,0,0
177.040462,6,10,6,0,0,0,0,0,CHO,Carb,178.0477385,-0.002321175,1,260991232,27952534,205285600,17053448
177.0407456,0,0,0,0,0,0,0,0,,None,178.048022,0,0,0,2663829,0,0
177.0548325,0,0,0,0,0,0,0,0,,None,178.062109,0,0,0,0,0,0
177.0557231,10,10,3,0,0,0,0,0,CHO,Lignin,178.0629995,-0.030082067,1,16156926,10030489,17266916,13371148
177.056,0,0,0,0,0,0,0,0,,None,178.0632765,0,0,0,0,0,0
177.0768467,7,14,5,0,0,0,0,0,CHO,Carb,178.0841231,0.002394112,1,0,0,0,0
177.0921,11,14,2,0,0,0,0,0,CHO,Lignin,178.0993765,0.018117526,1,0,0,0,2517013
178.0227,8,6,4,0,1,0,0,0,CHO,ConHC,179.0299765,-0.072323531,0,2526224,0,3754998,0
178.027165,0,0,0,0,0,0,0,0,,None,179.0344415,0,0,0,0,0,0
178.04382,5,10,6,0,1,0,0,0,CHO,Carb,179.0510964,-0.019857348,0,16816662,0,13625852,0
178.04829,0,0,0,0,0,0,0,0,,None,179.0555665,0,0,0,0,0,0
178.0590717,9,10,3,0,1,0,0,0,CHO,Lignin,179.0663481,0.0049789,0,0,0,2852352,2432019
178.063545,0,0,0,0,0,0,0,0,,None,179.0708215,0,0,0,0,0,0
178.96318,0,0,0,0,0,0,0,0,,None,179.9704565,0,0,4351266,0,6348550,0
178.9985914,8,4,5,0,0,0,0,0,CHO,ConHC,180.0058679,0.029684858,1,31882028,3093938,12907280,7429392
179.03409,0,0,0,0,0,0,0,0,,None,180.0413665,0,0,0,0,0,0
179.0349916,9,8,4,0,0,0,0,0,CHO,Lignin,180.042268,-0.051601383,1,17326902,9627581,24873754,13234458
179.0447,0,0,0,0,0,0,0,0,,None,180.0519765,0,0,3395386,0,0,0
179.0550233,0,0,0,0,0,0,0,0,,None,180.0622998,0,0,0,4899779,5958433,6382880
179.0552207,0,0,0,0,0,0,0,0,,None,180.0624971,0,0,0,0,0,0
179.055815,0,0,0,0,0,0,0,0,,None,180.0630915,0,0,0,0,0,0
179.0561104,6,12,6,0,0,0,0,0,CHO,Carb,180.0633869,0.006900829,1,37722940,82339776,94890784,106866976
179.056405,0,0,0,0,0,0,0,0,,None,180.0636815,0,0,3715901,0,0,0
179.0713733,10,12,3,0,0,0,0,0,CHO,Lignin,180.0786498,-0.030812722,1,4928834,3464135,7258918,0
179.10774,11,16,2,0,0,0,0,0,CHO,Lignin,180.1150165,0.073791293,1,0,0,0,0
180.0006,0,0,0,0,0,0,0,0,,None,181.0078765,0,0,0,0,0,0
180.00193,7,4,5,0,1,0,0,0,CHO,ConHC,181.0092065,0.119385198,0,2795864,0,0,0
180.0383367,8,8,4,0,1,0,0,0,CHO,Lignin,181.0456131,0.002482542,0,0,0,2637125,0
180.0427933,0,0,0,0,0,0,0,0,,None,181.0500698,0,0,2723684,0,2600006,0
180.059465,5,12,6,0,1,0,0,0,CHO,Carb,181.0667415,0.008221941,0,2536553,5834979,5689419,6052405
181.014244,8,6,5,0,0,0,0,0,CHO,ConHC,182.0215204,0.015691661,1,29117836,6614524,19791214,7197508
181.0497133,0,0,0,0,0,0,0,0,,None,182.0569898,0,0,0,0,0,0
181.05033,0,0,0,0,0,0,0,0,,None,182.0576065,0,0,0,0,0,0
181.0506373,9,10,4,0,0,0,0,0,CHO,Lignin,182.0579138,-0.027367555,1,39955864,19493382,51211640,36166476
181.0509267,0,0,0,0,0,0,0,0,,None,182.0582031,0,0,3521944,0,4402553,0
181.07176,6,14,6,0,0,0,0,0,CHO,Other,182.0790365,0.009419646,1,7103903,0,11593088,2985300
181.08702,10,14,3,0,0,0,0,0,CHO,Lignin,182.0942965,-0.01181355,1,0,0,0,0
182.01759,7,6,5,0,1,0,0,0,CHO,ConHC,183.0248665,0.063783792,0,3173063,0,0,0
182.0220657,0,0,0,0,0,0,0,0,,None,183.0293422,0,0,3695305,0,3166120,2914151
182.0458733,8,9,4,1,0,0,0,0,CHON,Lignin,183.0531498,0.043606388,1,0,0,3114671,0
182.0539814,8,10,4,0,1,0,0,0,CHO,Lignin,183.0612579,0.031419803,0,4076243,0,4240050,4000881
182.058465,0,0,0,0,0,0,0,0,,None,183.0657415,0,0,0,0,0,0
183.029898,8,8,5,0,0,0,0,0,CHO,Lignin,184.0371745,-0.005974771,1,28450828,5293666,22888424,8109458
183.04515,12,8,2,0,0,0,0,0,CHO,ConHC,184.0524265,0.016485086,1,0,0,0,0
183.0662844,9,12,4,0,0,0,0,0,CHO,Lignin,184.0735609,-0.011070164,1,3629591,3196013,4831221,4850077
183.10267,10,16,3,0,0,0,0,0,CHO,Protein,184.1099465,-0.011335509,1,0,0,0,0
184.00133,0,0,0,0,0,0,0,0,,None,185.0086065,0,0,0,0,0,0
184.03772,0,0,0,0,0,0,0,0,,None,185.0449965,0,1,0,0,0,0
185.009165,7,6,6,0,0,0,0,0,CHO,Tannin,186.0164415,-0.019039607,1,0,0,0,0
185.0277775,8,10,3,0,0,1,0,0,CHOS,Lignin,186.035054,0.058647119,1,6908576,2487516,2946682,6186997
185.0455466,8,10,5,0,0,0,0,0,CHO,Lignin,186.0528231,0.001910904,1,7220902,8109794,10701440,6915067
185.0608167,12,10,2,0,0,0,0,0,CHO,Lignin,186.0680931,-0.072921405,1,0,0,0,0
185.0819325,9,14,4,0,0,0,0,0,CHO,Protein,186.089209,-0.000156269,1,12243634,3466478,12874380,3433990
185.1183163,10,18,3,0,0,0,0,0,CHO,Protein,186.1255927,0.009279863,1,6414014,2645754,7184025,3395602
185.154704,11,22,2,0,0,0,0,0,CHO,Lipid,186.1619805,-0.002774358,1,0,7913222,5848741,8338461
186.04558,0,0,0,0,0,0,0,0,,None,187.0528565,0,1,0,0,2583251,0
186.05338,0,0,0,0,0,0,0,0,,None,187.0606565,0,1,0,0,0,0
186.077175,8,13,4,1,0,0,0,0,CHON,Protein,187.0844515,0.034444444,1,3469829,0,3093982,0
187.0247975,7,8,6,0,0,0,0,0,CHO,Tannin,188.032074,0.074575149,1,4233551,0,3895590,0
187.0400857,11,8,3,0,0,0,0,0,CHO,ConHC,188.0473622,-0.096029349,1,0,0,0,0
187.04194,0,0,0,0,0,0,0,0,,None,188.0492165,0,0,0,3506038,7559468,3283063
187.061195,8,12,5,0,0,0,0,0,CHO,AminoSugar,188.0684715,0.010787667,1,4007259,4603261,7675187,5269117
187.0764433,12,12,2,0,0,0,0,0,CHO,Lignin,188.0837198,0.052259635,1,0,0,0,0
187.0975788,9,16,4,0,0,0,0,0,CHO,Protein,188.1048552,0.020122394,1,4970344,4607369,11003199,7755401
187.13299,0,0,0,0,0,0,0,0,,None,188.1402665,0,0,0,0,0,0
187.133968,10,20,3,0,0,0,0,0,CHO,Protein,188.1412445,0.000220154,1,0,0,0,2891413
188.0478917,0,0,0,0,0,0,0,0,,None,189.0551681,0,0,0,0,0,0
188.06122,0,0,0,0,0,0,0,0,,None,189.0684965,0,1,0,0,2409875,0
188.137325,9,20,3,0,1,0,0,0,CHO,Protein,189.1446015,-0.01121248,0,0,0,0,0
189.019345,10,6,4,0,0,0,0,0,CHO,ConHC,190.0266215,-0.067284678,1,0,0,0,0
189.0404611,7,10,6,0,0,0,0,0,CHO,Tannin,190.0477376,0.002502576,1,8505374,3537444,5883890,3303180
189.05572,11,10,3,0,0,0,0,0,CHO,Lignin,190.0629965,-0.011993813,1,0,0,3354104,3052817
189.05759,0,0,0,0,0,0,0,0,,None,190.0648665,0,0,7467044,0,10950648,2612242
189.07684,8,14,5,0,0,0,0,0,CHO,AminoSugar,190.0841165,0.037315164,1,5879851,5932081,11419647,6292760
189.09213,12,14,2,0,0,0,0,0,CHO,Lignin,190.0994065,-0.140838315,1,0,0,0,0
189.128475,13,18,1,0,0,0,0,0,CHO,UnsatHC,190.1357515,0.072227448,1,0,0,0,0
190.0271483,0,0,0,0,0,0,0,0,,None,191.0344248,0,0,0,0,0,0
190.06355,0,0,0,0,0,0,0,0,,None,191.0708265,0,0,0,0,0,0
190.96317,9,4,1,0,0,2,0,0,CHOS,ConHC,191.9704465,-0.470574412,1,0,0,3140789,0
190.998595,9,4,5,0,0,0,0,0,CHO,ConHC,192.0058715,0.009228988,1,2768113,0,0,0
191.01845,0,0,0,0,0,0,0,0,,None,192.0257265,0,1,2875129,0,0,0
191.01874,0,0,0,0,0,0,0,0,,None,192.0260165,0,0,0,0,0,0
191.01939,0,0,0,0,0,0,0,0,,None,192.0266665,0,0,0,0,0,0
191.0197256,6,8,7,0,0,0,0,0,CHO,Other,192.0270021,0.002910558,1,49650424,3085539,28089034,0
191.033965,0,0,0,0,0,0,0,0,,None,192.0412415,0,1,0,0,0,0
191.03465,0,0,0,0,0,0,0,0,,None,192.0419265,0,0,0,0,0,0
191.0349851,10,8,4,0,0,0,0,0,CHO,Lignin,192.0422616,-0.014693016,1,15397631,9174761,18977488,13885367
191.05485,0,0,0,0,0,0,0,0,,None,192.0621265,0,0,0,0,0,4775870
191.05511,0,0,0,0,0,0,0,0,,None,192.0623865,0,0,0,0,0,0
191.05578,0,0,0,0,0,0,0,0,,None,192.0630565,0,0,0,0,0,0
191.0561093,7,12,6,0,0,0,0,0,CHO,Carb,192.0633858,0.01204008,1,22694662,18730736,42375896,87095232
191.05645,0,0,0,0,0,0,0,0,,None,192.0637265,0,0,0,0,0,0
191.07032,0,0,0,0,0,0,0,0,,None,192.0775965,0,1,0,0,0,0
191.0713564,11,12,3,0,0,0,0,0,CHO,Lignin,192.0786328,0.059459938,1,5624589,5375734,17234654,4787140
192.00642,0,0,0,0,0,0,0,0,,None,193.0136965,0,0,0,0,0,0
192.023075,5,8,7,0,1,0,0,0,CHO,Other,193.0303515,0.030992121,0,3277429,0,0,0
192.038335,9,8,4,0,1,0,0,0,CHO,Lignin,193.0456115,0.010961762,1,0,0,0,0
192.0428,0,0,0,0,0,0,0,0,,None,193.0500765,0,0,3117181,0,3169868,3330329
192.0594533,6,12,6,0,1,0,0,0,CHO,Carb,193.0667298,0.068139066,0,0,0,3092050,6851871
192.074705,10,12,3,0,1,0,0,0,CHO,Lignin,193.0819815,0.091269107,0,0,0,0,0
192.0792033,0,0,0,0,0,0,0,0,,None,193.0864798,0,0,0,0,0,0
193.00834,0,0,0,0,0,0,0,0,,None,194.0156165,0,0,0,0,0,0
193.0142424,9,6,5,0,0,0,0,0,CHO,ConHC,194.0215189,0.022821627,1,19512818,0,9944512,4034163
193.03435,0,0,0,0,0,0,0,0,,None,194.0416265,0,0,0,0,0,0
193.0353766,6,10,7,0,0,0,0,0,CHO,Other,194.042653,-0.001758273,1,45768188,3502022,33009096,3197051
193.0357065,0,0,0,0,0,0,0,0,,None,194.0429829,0,0,4113915,0,0,0
193.04618,0,0,0,0,0,0,0,0,,None,194.0534565,0,0,0,0,0,0
193.04932,0,0,0,0,0,0,0,0,,None,194.0565965,0,0,0,0,3857870,0
193.0495933,0,0,0,0,0,0,0,0,,None,194.0568698,0,1,0,0,0,0
193.05029,0,0,0,0,0,0,0,0,,None,194.0575665,0,0,0,0,0,0
193.0506215,10,10,4,0,0,0,0,0,CHO,Lignin,194.0578979,0.056033638,1,18005504,34007500,49847756,39287424
193.050975,0,0,0,0,0,0,0,0,,None,194.0582515,0,0,0,0,0,0
193.0870167,11,14,3,0,0,0,0,0,CHO,Lignin,194.0942931,0.006090614,1,0,2708186,0,0
193.98568,0,0,0,0,0,0,0,0,,None,194.9929565,0,0,0,0,0,0
194.01758,8,6,5,0,1,0,0,0,CHO,ConHC,195.0248565,0.111134654,0,2495866,0,0,0
194.022075,0,0,0,0,0,0,0,0,,None,195.0293515,0,0,0,0,0,0
194.038735,5,10,7,0,1,0,0,0,CHO,Other,195.0460115,-0.020268961,0,2783618,0,3064654,0
