,A,B,C,D,E,F
139,Alkaloids,Alkaloids derived by amination reactions,Steroid alkaloids,C10829  Veratramine,C10829,C27H39NO2
140,Alkaloids,Alkaloids derived by amination reactions,Steroid alkaloids,C06544  Veratridine,C06544,C36H51NO11
141,Alkaloids,Alkaloids derived by amination reactions,Steroid alkaloids,C10831  Zygadenine,C10831,C27H43NO7
142,Alkaloids,Others,Others,C10570  Annuloline,C10570,C20H19NO4
143,Alkaloids,Others,Others,C10573  Calycanthine,C10573,C22H26N4
144,Alkaloids,Others,Others,C12227  Chelerythrine,C12227,C21H18NO4
145,Alkaloids,Others,Others,C10596  Halfordinol,C10596,C14H10N2O2
146,Flavonoids,Flavonoids,Anthocyanidins and anthocyanins,C16354  Albireodelphin,C16354,C42H47O25
147,Flavonoids,Flavonoids,Anthocyanidins and anthocyanins,C08574  Apigeninidin,C08574,C15H11O4
148,Flavonoids,Flavonoids,Anthocyanidins and anthocyanins,C08604  Chrysanthemin,C08604,C21H21O11
149,Flavonoids,Flavonoids,Anthocyanidins and anthocyanins,C05905  Cyanidin,C05905,C15H11O6
150,Flavonoids,Flavonoids,Anthocyanidins and anthocyanins,C04491  Cyanidin-3-rhamnoglucoside chloride,C04491,C27H31O15. Cl
151,Flavonoids,Flavonoids,Anthocyanidins and anthocyanins,C08620  Cyanidin 3-O-rutinoside,C08620,C27H31O15
152,Flavonoids,Flavonoids,Anthocyanidins and anthocyanins,C08647  Cyanidin 3-O-galactoside,C08647,C21H21O11
153,Flavonoids,Flavonoids,Anthocyanidins and anthocyanins,"C08629  Cyanidin 3,5,3'-tri-O-glucoside",C08629,C33H41O21
154,Flavonoids,Flavonoids,Anthocyanidins and anthocyanins,C12095  Cyanidin 3-O-(6-O-p-coumaroyl)glucoside,C12095,C30H27O13
155,Flavonoids,Flavonoids,Anthocyanidins and anthocyanins,C12096  Cyanidin 3-O-(6-O-p-coumaroyl)glucoside-5-O-glucoside,C12096,C36H37O18
156,Flavonoids,Flavonoids,Anthocyanidins and anthocyanins,C12643  Cyanidin 3-O-(6-O-malonyl-beta-D-glucoside),C12643,C24H23O14
157,Flavonoids,Flavonoids,Anthocyanidins and anthocyanins,C12646  Cyanidin 3-O-rutinoside 5-O-beta-D-glucoside,C12646,C33H41O20
158,Flavonoids,Flavonoids,Anthocyanidins and anthocyanins,"C16289  Cyanidin 3-O-3'',6''-O-dimalonylglucoside",C16289,C27H25O17
159,Flavonoids,Flavonoids,Anthocyanidins and anthocyanins,C16306  Cyanidin 3-O-sophoroside,C16306,C27H31O16
160,Flavonoids,Flavonoids,Anthocyanidins and anthocyanins,C16350  Cyanidin 3-O-beta-D-glucoside 5-O-(6-coumaroyl-beta-D-glucoside),C16350,C36H37O18
161,Flavonoids,Flavonoids,Anthocyanidins and anthocyanins,C16373  Cyanidin-3-O-(6''-O-malonyl-2''-O-glucuronyl)glucoside,C16373,C30H31O20
162,Flavonoids,Flavonoids,Anthocyanidins and anthocyanins,C16292  Cyanidin-3-(p-coumaroyl)-rutinoside-5-glucoside,C16292,C42H47O22
163,Flavonoids,Flavonoids,Anthocyanidins and anthocyanins,C16369  Cyanidin 3-(6-p-caffeoyl)glucoside,C16369,C30H27O14
164,Flavonoids,Flavonoids,Anthocyanidins and anthocyanins,C16372  Cyanidin 3-glucoside 5-caffeoylglucoside,C16372,C36H37O19
165,Flavonoids,Flavonoids,Anthocyanidins and anthocyanins,C16298  Cyanidin 5-O-glucoside,C16298,C21H21O11
166,Flavonoids,Flavonoids,Anthocyanidins and anthocyanins,C08639  Cyanin,C08639,C27H31O16
167,Flavonoids,Flavonoids,Anthocyanidins and anthocyanins,C16312  Delphin,C16312,C27H31O17
168,Flavonoids,Flavonoids,Anthocyanidins and anthocyanins,C16301  Delphinidin 3-O-(6''-O-malonyl-beta-D-glucoside),C16301,C24H23O15
169,Flavonoids,Flavonoids,Anthocyanidins and anthocyanins,C12138  Delphinidin 3-O-glucoside,C12138,C21H21O12
170,Flavonoids,Flavonoids,Anthocyanidins and anthocyanins,C16313  Delphinidin 3-glucoside 5-caffoyl-glucoside,C16313,C36H37O20
171,Flavonoids,Flavonoids,Anthocyanidins and anthocyanins,C16351  Delphinidin 3-O-beta-D-glucoside 5-O-(6-coumaroyl-beta-D-glucoside),C16351,C36H37O19
172,Flavonoids,Flavonoids,Anthocyanidins and anthocyanins,C16304  Delphinidin 3-O-(6''-O-malonyl)-beta-glucoside-3'-O-beta-glucoside,C16304,C30H33O20
173,Flavonoids,Flavonoids,Anthocyanidins and anthocyanins,C16307  Delphinidin 3-O-sophoroside,C16307,C27H31O17
174,Flavonoids,Flavonoids,Anthocyanidins and anthocyanins,C16367  Delphinidin 3-O-(6-caffeoyl-beta-D-glucoside),C16367,C30H27O15
175,Flavonoids,Flavonoids,Anthocyanidins and anthocyanins,"C16290  Delphinidin 3-O-3'',6''-O-dimalonylglucoside",C16290,C27H25O18
176,Flavonoids,Flavonoids,Anthocyanidins and anthocyanins,C16294  Delphinidin-3-(p-coumaroyl)-rutinoside-5-glucoside,C16294,C42H47O23
177,Flavonoids,Flavonoids,Anthocyanidins and anthocyanins,C16370  Delphinidin 3-(6-p-coumaroyl)glucoside,C16370,C30H27O14
178,Flavonoids,Flavonoids,Anthocyanidins and anthocyanins,"C16314  Delphinidin 3,5,3'-triglucoside",C16314,C33H41O22
179,Flavonoids,Flavonoids,Anthocyanidins and anthocyanins,C08641  Gentiodelphin,C08641,C51H53O28
180,Flavonoids,Flavonoids,Anthocyanidins and anthocyanins,C08642  Heavenly blue anthocyanin,C08642,C79H91O45
181,Flavonoids,Flavonoids,Anthocyanidins and anthocyanins,C08652  Luteolinidin,C08652,C15H11O5
182,Flavonoids,Flavonoids,Anthocyanidins and anthocyanins,C08653  Malonylawobanin,C08653,C39H39O22
183,Flavonoids,Flavonoids,Anthocyanidins and anthocyanins,C16299  Malonylshisonin,C16299,C39H39O21
184,Flavonoids,Flavonoids,Anthocyanidins and anthocyanins,C08716  Malvidin,C08716,C17H15O7
185,Flavonoids,Flavonoids,Anthocyanidins and anthocyanins,C12140  Malvidin 3-O-glucoside,C12140,C23H25O12
186,Flavonoids,Flavonoids,Anthocyanidins and anthocyanins,C16296  Malvidin-3-(p-coumaroyl)-rutinoside-5-glucoside,C16296,C44H51O23
187,Flavonoids,Flavonoids,Anthocyanidins and anthocyanins,C08718  Malvin,C08718,C29H35O17
188,Flavonoids,Flavonoids,Anthocyanidins and anthocyanins,C08723  Monardaein,C08723,C42H41O23
189,Flavonoids,Flavonoids,Anthocyanidins and anthocyanins,C05904  Pelargonidin,C05904,C15H11O5
190,Flavonoids,Flavonoids,Anthocyanidins and anthocyanins,C12137  Pelargonidin 3-O-glucoside,C12137,C21H21O10
191,Flavonoids,Flavonoids,Anthocyanidins and anthocyanins,C12640  Pelargonidin 3-O-(6-caffeoyl-beta-D-glucoside) 5-O-beta-D-glucoside,C12640,C36H37O18
192,Flavonoids,Flavonoids,Anthocyanidins and anthocyanins,C12642  Pelargonidin 3-O-(6-O-malonyl-beta-D-glucoside),C12642,C24H23O13
193,Flavonoids,Flavonoids,Anthocyanidins and anthocyanins,C12644  Pelargonidin 3-O-rutinoside,C12644,C27H31O14
194,Flavonoids,Flavonoids,Anthocyanidins and anthocyanins,C12645  Pelargonidin 3-O-rutinoside 5-O-beta-D-glucoside,C12645,C33H41O19
195,Flavonoids,Flavonoids,Anthocyanidins and anthocyanins,"C16288  Pelargonidin 3-O-3'',6''-O-dimalonylglucoside",C16288,C27H25O16
196,Flavonoids,Flavonoids,Anthocyanidins and anthocyanins,C16297  Pelargonidin 3-O-(6-caffeoyl-beta-D-glucoside),C16297,C30H27O13
197,Flavonoids,Flavonoids,Anthocyanidins and anthocyanins,C16305  Pelargonidin 3-O-sophoroside,C16305,C27H31O15
198,Flavonoids,Flavonoids,Anthocyanidins and anthocyanins,C16349  Pelargonidin 3-O-beta-D-glucoside 5-O-(6-coumaroyl-beta-D-glucoside),C16349,C36H37O17
199,Flavonoids,Flavonoids,Anthocyanidins and anthocyanins,C16368  Pelargonidin 3-(6-p-coumaroyl)glucoside,C16368,C30H27O12
200,Flavonoids,Flavonoids,Anthocyanidins and anthocyanins,C16371  Pelargonidin 3-glucoside 5-caffeoylglucoside,C16371,C36H37O18
201,Flavonoids,Flavonoids,Anthocyanidins and anthocyanins,C12139  Petunidin 3-O-glucoside,C12139,C22H23O12
202,Flavonoids,Flavonoids,Anthocyanidins and anthocyanins,C16295  Petunidin-3-(p-coumaroyl)-rutinoside-5-glucoside,C16295,C43H49O23
203,Flavonoids,Flavonoids,Anthocyanidins and anthocyanins,C08725  Pelargonin,C08725,C27H31O15
204,Flavonoids,Flavonoids,Anthocyanidins and anthocyanins,C16293  Peonidin-3-(p-coumaroyl)-rutinoside-5-glucoside,C16293,C43H49O22
205,Flavonoids,Flavonoids,Anthocyanidins and anthocyanins,C08728  Riccionidin A,C08728,C15H9O6
206,Flavonoids,Flavonoids,Anthocyanidins and anthocyanins,C08729  Rosinidin,C08729,C17H15O6
207,Flavonoids,Flavonoids,Anthocyanidins and anthocyanins,C12647  Salvianin,C12647,C42H41O24
208,Flavonoids,Flavonoids,Anthocyanidins and anthocyanins,C12641  4'''-Demalonylsalvianin,C12641,C39H39O21
209,Flavonoids,Flavonoids,Anthocyanidins and anthocyanins,C16302  Ternatin A1,C16302,C96H107O53
210,Flavonoids,Flavonoids,Anthocyanidins and anthocyanins,C16303  Ternatin C5,C16303,C36H43O25
211,Flavonoids,Flavonoids,Anthocyanidins and anthocyanins,C16315  Tulipanin,C16315,C27H31O16
212,Flavonoids,Isoflavonoids,2-Arylbenzofurans,C08732  Albafuran A,C08732,C24H26O4
213,Flavonoids,Isoflavonoids,2-Arylbenzofurans,C08844  Moracin A,C08844,C16H14O5
214,Flavonoids,Isoflavonoids,2-Arylbenzofurans,C08846  Mulberrofuran A,C08846,C25H28O4
215,Flavonoids,Isoflavonoids,2-Arylbenzofurans,C08974  Sainfuran,C08974,C16H14O5
216,Flavonoids,Isoflavonoids,2-Arylbenzofurans,C08993  Vignafuran,C08993,C16H14O4
217,Flavonoids,Complex flavonoids,Diels-Alder adduct of chalcone,C10099  Kuwanone G,C10099,C40H36O11
218,Flavonoids,Complex flavonoids,Diels-Alder adduct of chalcone,C10100  Kuwanone H,C10100,C45H44O11
219,Flavonoids,Complex flavonoids,Diels-Alder adduct of chalcone,C08928  Mulberrofuran C,C08928,C34H28O9
220,Flavonoids,Complex flavonoids,Diels-Alder adduct of chalcone,C09834  Sanggenon C,C09834,C40H36O12
221,Flavonoids,Complex flavonoids,Diels-Alder adduct of chalcone,C09835  Sanggenon D,C09835,C40H36O12
222,Phenylpropanoids,Monolignols,Others,C10428  Anethole,C10428,C10H12O
223,Phenylpropanoids,Monolignols,Others,C16930  Chavicol,C16930,C9H10O
224,Phenylpropanoids,Monolignols,Others,C10426  1'-Acetoxychavicol acetate,C10426,C13H14O4
225,Phenylpropanoids,Monolignols,Others,C00423  trans-Cinnamate,C00423,C9H8O2
226,Phenylpropanoids,Monolignols,Others,C00540  Cinnamoyl-CoA,C00540,C30H42N7O17P3S
227,Phenylpropanoids,Monolignols,Others,C00903  Cinnamaldehyde,C00903,C9H8O
228,Phenylpropanoids,Monolignols,Others,C01772  trans-2-Hydroxycinnamate,C01772,C9H8O3
229,Phenylpropanoids,Monolignols,Others,C05158  trans-beta-D-Glucosyl-2-hydroxycinnamate,C05158,C15H18O8
230,Phenylpropanoids,Monolignols,Others,C05838  cis-2-Hydroxycinnamate,C05838,C9H8O3
231,Phenylpropanoids,Monolignols,Others,C05839  cis-beta-D-Glucosyl-2-hydroxycinnamate,C05839,C15H18O8
232,Phenylpropanoids,Monolignols,Others,C10451  Elemicin,C10451,C12H16O3
