,A,B,C,D,E,F
45,Lipids,Fatty acids [Fig],Saturated fatty acids,C06424  Myristic acid (14:0),C06424,C14H28O2
46,Lipids,Fatty acids [Fig],Saturated fatty acids,C00249  Palmitic acid (16:0),C00249,C16H32O2
47,Lipids,Fatty acids [Fig],Saturated fatty acids,C01530  Stearic acid (18:0),C01530,C18H36O2
48,Lipids,Fatty acids [Fig],Saturated fatty acids,C06425  Arachidic acid (20:0),C06425,C20H40O2
49,Lipids,Fatty acids [Fig],Saturated fatty acids,C08281  Behenic acid (22:0),C08281,C22H44O2
50,Lipids,Fatty acids [Fig],Saturated fatty acids,C08320  Lignoceric acid (24:0),C08320,C24H48O2
51,Lipids,Fatty acids [Fig],Unsaturated fatty acids,C08362  Palmitoleic acid (16:1;9),C08362,C16H30O2
52,Lipids,Fatty acids [Fig],Unsaturated fatty acids,C00712  Oleic acid (18:1;9),C00712,C18H34O2
53,Lipids,Fatty acids [Fig],Unsaturated fatty acids,C01712  Elaidic acid (18:1;9),C01712,C18H34O2
54,Lipids,Fatty acids [Fig],Unsaturated fatty acids,C16526  Icosenoic acid (20:1;11),C16526,C20H38O2
55,Lipids,Fatty acids [Fig],Unsaturated fatty acids,C08316  Erucic acid (22:1;13),C08316,C22H42O2
56,Lipids,Fatty acids [Fig],Unsaturated fatty acids,C08323  Nervonic acid (24:1;15),C08323,C24H46O2
57,Lipids,Fatty acids [Fig],Unsaturated fatty acids,"C01595  Linoleic acid (18:2;9,12)",C01595,C18H32O2
58,Lipids,Fatty acids [Fig],Unsaturated fatty acids,"C16525  Icosadienoic acid (20:2;11,14)",C16525,C20H36O2
59,Lipids,Fatty acids [Fig],Unsaturated fatty acids,"C16533  Docosadienoic acid (22:2;13,16)",C16533,C22H40O2
60,Lipids,Fatty acids [Fig],Unsaturated fatty acids,"C06426  gamma-Linolenic acid (18:3;6,9,12)",C06426,C18H30O2
61,Lipids,Fatty acids [Fig],Unsaturated fatty acids,"C06427  alpha-Linolenic acid (18:3;9,12,15)",C06427,C18H30O2
62,Lipids,Fatty acids [Fig],Unsaturated fatty acids,"C00219  Arachidonic acid (20:4;5,8,11,14)",C00219,C20H32O2
63,Lipids,Fatty acids [Fig],Unsaturated fatty acids,"C06428  Eicosapentaenoic acid (20:5;5,8,11,14.17)",C06428,C20H30O2
64,Lipids,Fatty acids [Fig],Unsaturated fatty acids,"C06429  Docosahexaenoic acid (22:6;4,7,10,13,16,19)",C06429,C22H32O2
65,Lipids,Fats [Fig],Acylglycerols,C01885  1-Monoacylglycerol,C01885,C4H7O4R
66,Lipids,Fats [Fig],Acylglycerols,C02112  2-Monoacylglycerol,C02112,C4H7O4R
67,Lipids,Fats [Fig],Acylglycerols,"C00641  1,2-Diacylglycerol",C00641,C5H6O5R2
68,Lipids,Fats [Fig],Acylglycerols,"C06437  1,3-Diacylglycerol",C06437,C5H6O5R2
69,Lipids,Fats [Fig],Acylglycerols,C00422  Triacylglycerol,C00422,C6H5O6R3
70,Lipids,Phospholipids [Fig],Glycerophospholipids,C00416  Phosphatidic acid,C00416,C5H7O8PR2
71,Lipids,Phospholipids [Fig],Glycerophospholipids,C00350  Phosphatidylethanolamine,C00350,C7H12NO8PR2
72,Lipids,Phospholipids [Fig],Glycerophospholipids,C00157  Phosphatidylcholine; Lecithin,C00157,C10H18NO8PR2
73,Lipids,Phospholipids [Fig],Glycerophospholipids,C02737  Phosphatidylserine,C02737,C8H12NO10PR2
74,Lipids,Phospholipids [Fig],Glycerophospholipids,C01194  Phosphatidylinositol,C01194,C11H17O13PR2
75,Lipids,Phospholipids [Fig],Glycerophospholipids,C04230  2-Lysolecithin,C04230,C9H20NO7PR
76,Lipids,Phospholipids [Fig],Glycerophospholipids,C04756  Plasmenylethanolamine,C04756,C8H14NO7PR2
77,Lipids,Phospholipids [Fig],Glycerophospholipids,C00958  Plasmenylcholine,C00958,C11H21NO7PR2
78,Lipids,Phospholipids [Fig],Glycerophospholipids,C00344  Phosphatidylglycerol,C00344,C8H13O10PR2
79,Lipids,Phospholipids [Fig],Glycerophospholipids,C05980  Diphosphatidylglycerol; Cardiolipin,C05980,C13H18O17P2R4
80,Lipids,Phospholipids [Fig],Phosphosphingolipids,C00550  Sphingomyelin,C00550,C24H49N2O6PR
81,Lipids,Glycolipids [Fig],Glyceroglycolipids,C03692  Monogalactosyldiacylglycerol,C03692,C11H16O10R2
82,Lipids,Glycolipids [Fig],Glyceroglycolipids,C06037  Digalactosyldiacylglycerol,C06037,C17H26O15R2
83,Lipids,Glycolipids [Fig],Glyceroglycolipids,C20825  Seminolipid,C20825,C10H16O12SR2
84,Lipids,Glycolipids [Fig],Glycosphingolipids,C01190  Glucosylceramide,C01190,C25H46NO8R
85,Lipids,Glycolipids [Fig],Glycosphingolipids,C02686  Galactosylceramide,C02686,C25H46NO8R
86,Lipids,Glycolipids [Fig],Glycosphingolipids,C01290  Lactosylceramide,C01290,C31H56NO13R
87,Lipids,Glycolipids [Fig],Glycosphingolipids,C04911  GM1,C04911,C56H96N3O31R
88,Lipids,Glycolipids [Fig],Glycosphingolipids,C04884  GM2,C04884,C50H86N3O26R
89,Lipids,Glycolipids [Fig],Glycosphingolipids,C04730  GM3,C04730,C42H73N2O21R
90,Lipids,Glycolipids [Fig],Glycosphingolipids,C06125  Sulfatide,C06125,C25H46NO11SR
91,Lipids,Eicosanoids [Fig],Prostaglandins,C04685  Prostaglandin A1,C04685,C20H32O4
92,Lipids,Eicosanoids [Fig],Prostaglandins,C05953  Prostaglandin A2,C05953,C20H30O4
93,Lipids,Eicosanoids [Fig],Prostaglandins,C00959  Prostaglandin B1,C00959,C20H32O4
94,Lipids,Eicosanoids [Fig],Prostaglandins,C05954  Prostaglandin B2,C05954,C20H30O4
95,Lipids,Eicosanoids [Fig],Prostaglandins,C04686  Prostaglandin C1,C04686,C20H32O4
96,Lipids,Eicosanoids [Fig],Prostaglandins,C05955  Prostaglandin C2,C05955,C20H30O4
97,Lipids,Eicosanoids [Fig],Prostaglandins,C06438  Prostaglandin D1,C06438,C20H34O5
98,Lipids,Eicosanoids [Fig],Prostaglandins,C00696  Prostaglandin D2,C00696,C20H32O5
99,Lipids,Eicosanoids [Fig],Prostaglandins,C04741  Prostaglandin E1,C04741,C20H34O5
100,Lipids,Eicosanoids [Fig],Prostaglandins,C00584  Prostaglandin E2,C00584,C20H32O5
101,Lipids,Eicosanoids [Fig],Prostaglandins,C06439  Prostaglandin E3,C06439,C20H30O5
102,Lipids,Eicosanoids [Fig],Prostaglandins,C06475  Prostaglandin F1alpha,C06475,C20H36O5
103,Lipids,Eicosanoids [Fig],Prostaglandins,C00639  Prostaglandin F2alpha,C00639,C20H34O5
104,Lipids,Eicosanoids [Fig],Prostaglandins,C02314  Prostaglandin F2beta,C02314,C20H34O5
105,Lipids,Eicosanoids [Fig],Prostaglandins,C06476  Prostaglandin F3alpha,C06476,C20H32O5
106,Lipids,Eicosanoids [Fig],Prostaglandins,C05956  Prostaglandin G2,C05956,C20H32O6
107,Lipids,Eicosanoids [Fig],Prostaglandins,C00427  Prostaglandin H2,C00427,C20H32O5
108,Lipids,Eicosanoids [Fig],Prostaglandins,C01312  Prostaglandin I2,C01312,C20H32O5
109,Lipids,Eicosanoids [Fig],Prostaglandins,C05957  Prostaglandin J2,C05957,C20H30O4
110,Lipids,Eicosanoids [Fig],Leukotrienes,C00909  Leukotriene A4,C00909,C20H30O3
111,Lipids,Eicosanoids [Fig],Leukotrienes,C02165  Leukotriene B4,C02165,C20H32O4
112,Lipids,Eicosanoids [Fig],Leukotrienes,C02166  Leukotriene C4,C02166,C30H47N3O9S
113,Lipids,Eicosanoids [Fig],Leukotrienes,C05951  Leukotriene D4,C05951,C25H40N2O6S
114,Lipids,Eicosanoids [Fig],Leukotrienes,C05952  Leukotriene E4,C05952,C23H37NO5S
115,Lipids,Eicosanoids [Fig],Leukotrienes,C06462  Leukotriene F4,C06462,C28H44N2O8S
116,Lipids,Eicosanoids [Fig],Leukotrienes,C05356  5-HPETE,C05356,C20H32O4
117,Lipids,Eicosanoids [Fig],Thromboxanes,C02198  Thromboxane A2,C02198,C20H32O5
118,Lipids,Eicosanoids [Fig],Thromboxanes,C05963  Thromboxane B2,C05963,C20H34O6
119,Lipids,Eicosanoids [Fig],Thromboxanes,C05964  11-Dehydro-thromboxane B2,C05964,C20H32O6
120,Carbohydrates,Monosaccharides,Aldoses [Fig],C00577  D-Glyceraldehyde,C00577,C3H6O3
121,Carbohydrates,Monosaccharides,Aldoses [Fig],C02426  L-Glyceraldehyde,C02426,C3H6O3
122,Carbohydrates,Monosaccharides,Aldoses [Fig],C01796  D-Erythrose,C01796,C4H8O4
123,Carbohydrates,Monosaccharides,Aldoses [Fig],C06463  D-Threose,C06463,C4H8O4
124,Carbohydrates,Monosaccharides,Aldoses [Fig],C00216  D-Arabinose,C00216,C5H10O5
125,Carbohydrates,Monosaccharides,Aldoses [Fig],C00259  L-Arabinose,C00259,C5H10O5
126,Carbohydrates,Monosaccharides,Aldoses [Fig],C00181  D-Xylose,C00181,C5H10O5
127,Carbohydrates,Monosaccharides,Aldoses [Fig],C01510  L-Xylose,C01510,C5H10O5
128,Carbohydrates,Monosaccharides,Aldoses [Fig],C00476  D-Lyxose,C00476,C5H10O5
129,Carbohydrates,Monosaccharides,Aldoses [Fig],C01508  L-Lyxose,C01508,C5H10O5
130,Carbohydrates,Monosaccharides,Aldoses [Fig],C00121  D-Ribose,C00121,C5H10O5
131,Carbohydrates,Monosaccharides,Aldoses [Fig],C00031  D-Glucose,C00031,C6H12O6
132,Carbohydrates,Monosaccharides,Aldoses [Fig],C00124  D-Galactose,C00124,C6H12O6
133,Carbohydrates,Monosaccharides,Aldoses [Fig],C01825  L-Galactose,C01825,C6H12O6
134,Carbohydrates,Monosaccharides,Aldoses [Fig],C00159  D-Mannose,C00159,C6H12O6
135,Carbohydrates,Monosaccharides,Aldoses [Fig],C01487  D-Allose,C01487,C6H12O6
136,Carbohydrates,Monosaccharides,Aldoses [Fig],C06464  D-Altrose,C06464,C6H12O6
137,Carbohydrates,Monosaccharides,Aldoses [Fig],C06465  D-Gulose,C06465,C6H12O6
138,Carbohydrates,Monosaccharides,Aldoses [Fig],C15923  L-Gulose,C15923,C6H12O6
139,Carbohydrates,Monosaccharides,Aldoses [Fig],C06466  D-Idose,C06466,C6H12O6
140,Carbohydrates,Monosaccharides,Aldoses [Fig],C06467  D-Talose,C06467,C6H12O6
141,Carbohydrates,Monosaccharides,Aldoses [Fig],"C06474  3,6-Anhydrogalactose",C06474,C6H10O5
142,Carbohydrates,Monosaccharides,Aldoses [Fig],"C06478  3,6-Anhydroglucose",C06478,C6H10O5
143,Carbohydrates,Monosaccharides,Ketoses [Fig],C00184  Dihydroxyacetone,C00184,C3H6O3
144,Carbohydrates,Monosaccharides,Ketoses [Fig],C02022  D-Erythrulose,C02022,C4H8O4
145,Carbohydrates,Monosaccharides,Ketoses [Fig],C02045  L-Erythrulose,C02045,C4H8O4
146,Carbohydrates,Monosaccharides,Ketoses [Fig],C00309  D-Ribulose,C00309,C5H10O5
147,Carbohydrates,Monosaccharides,Ketoses [Fig],C00508  L-Ribulose,C00508,C5H10O5
148,Carbohydrates,Monosaccharides,Ketoses [Fig],C00310  D-Xylulose,C00310,C5H10O5
149,Carbohydrates,Monosaccharides,Ketoses [Fig],C00312  L-Xylulose,C00312,C5H10O5
150,Carbohydrates,Monosaccharides,Ketoses [Fig],C00095  D-Fructose; Fruit sugar,C00095,C6H12O6
151,Carbohydrates,Monosaccharides,Ketoses [Fig],C01719  L-Fructose,C01719,C6H12O6
152,Carbohydrates,Monosaccharides,Ketoses [Fig],C00764  D-Sorbose,C00764,C6H12O6
153,Carbohydrates,Monosaccharides,Ketoses [Fig],C00247  L-Sorbose,C00247,C6H12O6
154,Carbohydrates,Monosaccharides,Ketoses [Fig],C00795  D-Tagatose,C00795,C6H12O6
155,Carbohydrates,Monosaccharides,Ketoses [Fig],C06468  D-Psicose,C06468,C6H12O6
156,Carbohydrates,Monosaccharides,Ketoses [Fig],C02076  Sedoheptulose,C02076,C7H14O7
157,Carbohydrates,Monosaccharides,Ketoses [Fig],C19612  Coriose,C19612,C7H14O7
158,Carbohydrates,Monosaccharides,Deoxy sugars [Fig],C01801  Deoxyribose,C01801,C5H10O4
159,Carbohydrates,Monosaccharides,Deoxy sugars [Fig],C01018  D-Fucose,C01018,C6H12O5
160,Carbohydrates,Monosaccharides,Deoxy sugars [Fig],C01019  L-Fucose,C01019,C6H12O5
161,Carbohydrates,Monosaccharides,Deoxy sugars [Fig],C01684  D-Rhamnose,C01684,C6H12O5
162,Carbohydrates,Monosaccharides,Deoxy sugars [Fig],C00507  L-Rhamnose,C00507,C6H12O5
163,Carbohydrates,Monosaccharides,Deoxy sugars [Fig],C00586  2-Deoxy-D-glucose,C00586,C6H12O5
164,Carbohydrates,Monosaccharides,Deoxy sugars [Fig],C02522  D-Quinovose,C02522,C6H12O5
165,Carbohydrates,Monosaccharides,Deoxy sugars [Fig],C02781  2-Deoxy-D-galactose,C02781,C6H12O5
166,Carbohydrates,Monosaccharides,Deoxy sugars [Fig],C06471  Abequose,C06471,C6H12O4
167,Carbohydrates,Monosaccharides,Amino sugars [Fig],C00329  D-Glucosamine,C00329,C6H13NO5
168,Carbohydrates,Monosaccharides,Amino sugars [Fig],C02262  D-Galactosamine,C02262,C6H13NO5
169,Carbohydrates,Monosaccharides,Amino sugars [Fig],C03570  D-Mannosamine,C03570,C6H13NO5
170,Carbohydrates,Monosaccharides,Amino sugars [Fig],C15478  D-Fucosamine,C15478,C6H13NO4
171,Carbohydrates,Monosaccharides,Amino sugars [Fig],C15479  D-Quinovosamine,C15479,C6H13NO4
172,Carbohydrates,Monosaccharides,Amino sugars [Fig],C06469  Neuraminic acid,C06469,C9H17NO8
173,Carbohydrates,Monosaccharides,Amino sugars [Fig],C06470  Muramic acid,C06470,C9H17NO7
174,Carbohydrates,Monosaccharides,Amino sugars [Fig],C00140  N-Acetyl-D-glucosamine,C00140,C8H15NO6
175,Carbohydrates,Monosaccharides,Amino sugars [Fig],C01132  N-Acetyl-D-galactosamine,C01132,C8H15NO6
176,Carbohydrates,Monosaccharides,Amino sugars [Fig],C00645  N-Acetyl-D-mannosamine,C00645,C8H15NO6
177,Carbohydrates,Monosaccharides,Amino sugars [Fig],C15480  N-Acetyl-D-fucosamine,C15480,C8H15NO5
178,Carbohydrates,Monosaccharides,Amino sugars [Fig],C15481  N-Acetyl-D-quinovosamine,C15481,C8H15NO5
179,Carbohydrates,Monosaccharides,Amino sugars [Fig],C00270  N-Acetylneuraminic acid,C00270,C11H19NO9
180,Carbohydrates,Monosaccharides,Amino sugars [Fig],C02713  N-Acetylmuramic acid,C02713,C11H19NO8
181,Carbohydrates,Monosaccharides,Amino sugars [Fig],C03525  O-Acetylneuraminic acid,C03525,C11H19NO9
182,Carbohydrates,Monosaccharides,Amino sugars [Fig],C03410  N-Glycoloyl-neuraminate,C03410,C11H19NO10
183,Carbohydrates,Monosaccharides,Sugar acids [Fig],C00905  D-Fructuronic acid,C00905,C6H10O7
184,Carbohydrates,Monosaccharides,Sugar acids [Fig],C00558  D-Tagaturonic acid,C00558,C6H10O7
185,Carbohydrates,Monosaccharides,Sugar acids [Fig],C00191  D-Glucuronic acid,C00191,C6H10O7
186,Carbohydrates,Monosaccharides,Sugar acids [Fig],C00333  D-Galacturonic acid,C00333,C6H10O7
187,Carbohydrates,Monosaccharides,Sugar acids [Fig],C02024  D-Mannuronic acid,C02024,C6H10O7
188,Carbohydrates,Monosaccharides,Sugar acids [Fig],C06472  L-Iduronic acid,C06472,C6H10O7
189,Carbohydrates,Monosaccharides,Sugar acids [Fig],C06477  L-Guluronic acid,C06477,C6H10O7
190,Carbohydrates,Monosaccharides,Sugar acids [Fig],C00257  D-Gluconic acid,C00257,C6H12O7
191,Carbohydrates,Monosaccharides,Sugar acids [Fig],C03752  D-Glucosaminic acid,C03752,C6H13NO6
192,Carbohydrates,Monosaccharides,Sugar acids [Fig],C06473  2-Keto-D-gluconic acid,C06473,C6H10O7
193,Carbohydrates,Monosaccharides,Sugar acids [Fig],C01187  3-Deoxy-D-manno-octulosonic acid,C01187,C8H14O8
194,Carbohydrates,Monosaccharides,Sugar alcohols [Fig],C00116  Glycerol,C00116,C3H8O3
195,Carbohydrates,Monosaccharides,Sugar alcohols [Fig],C00379  Xylitol,C00379,C5H12O5
196,Carbohydrates,Monosaccharides,Sugar alcohols [Fig],C00794  Sorbitol,C00794,C6H14O6
197,Carbohydrates,Monosaccharides,Sugar alcohols [Fig],C00392  Mannitol,C00392,C6H14O6
198,Carbohydrates,Monosaccharides,Sugar alcohols [Fig],C00137  myo-Inositol,C00137,C6H12O6
199,Carbohydrates,Oligosaccharides [Fig],Disaccharides,C00089  Sucrose; Cane sugar,C00089,C12H22O11
200,Carbohydrates,Oligosaccharides [Fig],Disaccharides,C00243  Lactose; Milk sugar,C00243,C12H22O11
201,Carbohydrates,Oligosaccharides [Fig],Disaccharides,C00208  Maltose; Malt sugar,C00208,C12H22O11
202,Carbohydrates,Oligosaccharides [Fig],Disaccharides,C01083  Trehalose,C01083,C12H22O11
203,Carbohydrates,Oligosaccharides [Fig],Disaccharides,C00185  Cellobiose,C00185,C12H22O11
204,Carbohydrates,Oligosaccharides [Fig],Disaccharides,C19632  Kojibiose,C19632,C12H22O11
205,Carbohydrates,Oligosaccharides [Fig],Disaccharides,C01518  Nigerose,C01518,C12H22O11
206,Carbohydrates,Oligosaccharides [Fig],Disaccharides,C00252  Isomaltose,C00252,C12H22O11
207,Carbohydrates,Oligosaccharides [Fig],Disaccharides,C08250  Sophorose,C08250,C12H22O11
208,Carbohydrates,Oligosaccharides [Fig],Disaccharides,C02048  Laminaribiose,C02048,C12H22O11
209,Carbohydrates,Oligosaccharides [Fig],Disaccharides,C08240  Gentiobiose,C08240,C12H22O11
210,Carbohydrates,Oligosaccharides [Fig],Disaccharides,C19636  Turanose,C19636,C12H22O11
211,Carbohydrates,Oligosaccharides [Fig],Disaccharides,C19633  Maltulose,C19633,C12H22O11
212,Carbohydrates,Oligosaccharides [Fig],Disaccharides,C01742  Palatinose,C01742,C12H22O11
213,Carbohydrates,Oligosaccharides [Fig],Disaccharides,C19635  Scillabiose,C19635,C12H22O10
214,Carbohydrates,Oligosaccharides [Fig],Disaccharides,C01728  Mannobiose,C01728,C12H22O11
215,Carbohydrates,Oligosaccharides [Fig],Disaccharides,C05402  Melibiose,C05402,C12H22O11
216,Carbohydrates,Oligosaccharides [Fig],Disaccharides,C06372  Lacto-N-biose,C06372,C14H25NO11
217,Carbohydrates,Oligosaccharides [Fig],Disaccharides,C19634  Melibiulose,C19634,C12H22O11
218,Carbohydrates,Oligosaccharides [Fig],Disaccharides,C08247  Rutinose,C08247,C12H22O10
219,Carbohydrates,Oligosaccharides [Fig],Disaccharides,C01625  Vicianose,C01625,C11H20O10
220,Carbohydrates,Oligosaccharides [Fig],Disaccharides,C01630  Xylobiose,C01630,C10H18O9
221,Carbohydrates,Oligosaccharides [Fig],Tetrasaccharides,C06371  Lacto-N-tetraose,C06371,C26H45NO21
222,Carbohydrates,Polysaccharides [Fig],Homopolysaccharides,G10481  Cellulose,G10481,
223,Carbohydrates,Polysaccharides [Fig],Homopolysaccharides,G10495  Amylose,G10495,
224,Carbohydrates,Polysaccharides [Fig],Homopolysaccharides,G04981  Inulin,G04981,
225,Carbohydrates,Polysaccharides [Fig],Homopolysaccharides,G10483  Chitin,G10483,
226,Carbohydrates,Polysaccharides [Fig],Homopolysaccharides,G10536  Chitosan,G10536,
227,Carbohydrates,Polysaccharides [Fig],Homopolysaccharides,G11610  Amylopectin,G11610,
228,Carbohydrates,Polysaccharides [Fig],Homopolysaccharides,G11603  Glycogen,G11603,
229,Carbohydrates,Polysaccharides [Fig],Homopolysaccharides,G10591  Pectin,G10591,
230,Carbohydrates,Polysaccharides [Fig],Heteropolysaccharides,G11598  Glucomannan,G11598,
231,Carbohydrates,Polysaccharides [Fig],Heteropolysaccharides,G11599  Galactoglucomannan,G11599,
232,Carbohydrates,Polysaccharides [Fig],Heteropolysaccharides,G11622  Xyloglucan,G11622,
233,Carbohydrates,Polysaccharides [Fig],Heteropolysaccharides,G11623  4-O-Methylglucuronoxylan,G11623,
234,Carbohydrates,Polysaccharides [Fig],Heteropolysaccharides,G11619  Arabinoxylan,G11619,
235,Carbohydrates,Polysaccharides [Fig],Heteropolysaccharides,G11624  4-O-Methylglucuronoarabinoxylran,G11624,
236,Carbohydrates,Polysaccharides [Fig],Heteropolysaccharides,G11334  Chondroitin,G11334,
237,Carbohydrates,Polysaccharides [Fig],Heteropolysaccharides,G10505  Hyaluronic acid,G10505,
238,Carbohydrates,Polysaccharides [Fig],Heteropolysaccharides,G10593  Alginic acid,G10593,
239,Nucleic acids,Bases [Fig],Purines,C00147  Adenine (Ade),C00147,C5H5N5
240,Nucleic acids,Bases [Fig],Purines,C00242  Guanine (Gua),C00242,C5H5N5O
241,Nucleic acids,Bases [Fig],Pyrimidines,C00106  Uracil (Ura),C00106,C4H4N2O2
242,Nucleic acids,Bases [Fig],Pyrimidines,C00178  Thymine (Thy),C00178,C5H6N2O2
243,Nucleic acids,Bases [Fig],Pyrimidines,C00380  Cytosine (Cyt),C00380,C4H5N3O
244,Nucleic acids,Nucleosides [Fig],Ribonucleosides,C00212  Adenosine (A),C00212,C10H13N5O4
245,Nucleic acids,Nucleosides [Fig],Ribonucleosides,C00387  Guanosine (G),C00387,C10H13N5O5
246,Nucleic acids,Nucleosides [Fig],Ribonucleosides,C00299  Uridine (U),C00299,C9H12N2O6
247,Nucleic acids,Nucleosides [Fig],Ribonucleosides,C00475  Cytidine (C),C00475,C9H13N3O5
248,Nucleic acids,Nucleosides [Fig],Deoxyribonucleosides,C00559  Deoxyadenosine (dA),C00559,C10H13N5O3
249,Nucleic acids,Nucleosides [Fig],Deoxyribonucleosides,C00330  Deoxyguanosine (dG),C00330,C10H13N5O4
250,Nucleic acids,Nucleosides [Fig],Deoxyribonucleosides,C00526  Deoxyuridine (dU),C00526,C9H12N2O5
251,Nucleic acids,Nucleosides [Fig],Deoxyribonucleosides,C00214  Deoxythymidine (dT),C00214,C10H14N2O5
