,A,B,C,D,E,F
99,PR  Prenol lipids,PR01 Isoprenoids,PR0109 Retinoids,C05919  11-cis-Dehydroretinal,C05919,C20H26O
100,PR  Prenol lipids,PR01 Isoprenoids,PR0109 Retinoids,C00777  Retinoate,C00777,C20H28O2
101,PR  Prenol lipids,PR01 Isoprenoids,PR0109 Retinoids,C15493  9-cis-Retinoic acid,C15493,C20H28O2
102,PR  Prenol lipids,PR01 Isoprenoids,PR0109 Retinoids,C16678  all-trans-4-Oxoretinoic acid,C16678,C20H26O3
103,PR  Prenol lipids,PR01 Isoprenoids,PR0109 Retinoids,C16677  all-trans-4-Hydroxyretinoic acid,C16677,C20H28O3
104,PR  Prenol lipids,PR01 Isoprenoids,PR0109 Retinoids,C16679  all-trans-18-Hydroxyretinoic acid,C16679,C20H28O3
105,PR  Prenol lipids,PR01 Isoprenoids,PR0109 Retinoids,"C16680  all-trans-5,6-Epoxyretinoic acid",C16680,C20H28O3
106,PR  Prenol lipids,PR01 Isoprenoids,PR0109 Retinoids,C02075  Retinyl ester,C02075,C21H29O2R
107,PR  Prenol lipids,PR01 Isoprenoids,PR0109 Retinoids,C04680  Retinyl-ester-(cellular-retinol-binding-protein),C04680,C21H29O2R
108,PR  Prenol lipids,PR01 Isoprenoids,PR0109 Retinoids,C02588  Retinyl palmitate,C02588,C36H60O2
109,PR  Prenol lipids,PR01 Isoprenoids,PR0109 Retinoids,C03455  11-cis-Retinyl palmitate,C03455,C36H60O2
110,PR  Prenol lipids,PR02 Quinones and hydroquinones,PR0203 Vitamin K,C00828  Menaquinone (Vitamin K2),C00828,C16H16O2(C5H8)n
111,PR  Prenol lipids,PR02 Quinones and hydroquinones,PR0203 Vitamin K,C02059  Phylloquinone (Vitamin K1),C02059,C31H46O2
112,PR  Prenol lipids,PR02 Quinones and hydroquinones,PR0203 Vitamin K,C05377  Menadione (Vitamin K3),C05377,C11H8O2
113,PR  Prenol lipids,PR02 Quinones and hydroquinones,PR0203 Vitamin K,C05818  2-Demethylmenaquinone,C05818,C15H14O2(C5H8)n
114,PR  Prenol lipids,PR02 Quinones and hydroquinones,PR0203 Vitamin K,C05849  Vitamin K epoxide,C05849,C31H46O3
115,PR  Prenol lipids,PR02 Quinones and hydroquinones,PR0203 Vitamin K,C13309  2-Demethylphylloquinone,C13309,C30H44O2
116,PR  Prenol lipids,PR02 Quinones and hydroquinones,PR0203 Vitamin K,C02785  3-Hydroxy-vitamin K,C02785,C31H48O3
117,PR  Prenol lipids,PR02 Quinones and hydroquinones,PR0203 Vitamin K,C02793  2-Hydroxy-vitamin K,C02793,C31H48O3
118,PR  Prenol lipids,PR03 Polyprenols,PR0309 Dolichol diphosphates,C00621  Dolichyl diphosphate,C00621,C20H38O7P2(C5H8)n
119,PR  Prenol lipids,PR03 Polyprenols,PR0309 Dolichol diphosphates,C04213  Dolichyl diphosphooligosaccharide,C04213,C36H63N2O17P2R(C5H8)n
120,PR  Prenol lipids,PR03 Polyprenols,PR0309 Dolichol diphosphates,C04500  N-Acetyl-D-glucosaminyldiphosphodolichol,C04500,C28H51NO12P2(C5H8)n
121,PR  Prenol lipids,PR03 Polyprenols,PR0309 Dolichol diphosphates,"C04537  N,N'-Diacetylchitobiosyldiphosphodolichol",C04537,C36H64N2O17P2(C5H8)n
122,PR  Prenol lipids,PR03 Polyprenols,PR0309 Dolichol diphosphates,C04615  alpha-D-Mannosylchitobiosyldiphosphodolichol,C04615,C42H74N2O22P2(C5H8)n
123,PR  Prenol lipids,PR03 Polyprenols,PR0309 Dolichol diphosphates,C05860  beta-D-Mannosyldiacetylchitobiosyldiphosphodolichol,C05860,C42H74N2O22P2(C5H8)n
124,PR  Prenol lipids,PR03 Polyprenols,PR0309 Dolichol diphosphates,C05861  alpha-D-Mannosyl-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol,C05861,C48H84N2O27P2(C5H8)n
125,PR  Prenol lipids,PR03 Polyprenols,PR0309 Dolichol diphosphates,C05864  (alpha-D-Mannosyl)4-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol,C05864,C66H114N2O42P2(C5H8)n
126,PR  Prenol lipids,PR03 Polyprenols,PR0309 Dolichol diphosphates,C05868  (alpha-D-Mannosyl)8-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol,C05868,C90H154N2O62P2(C5H8)n
127,SL  Saccharolipids,SL01 Acylaminosugars,SL0107 Heptaacylaminosugars,C13909  Diphosphoryl heptaacyl lipid A,C13909,C110H208N2O26P2
128,PK  Polyketides,PK12 Flavonoids,PK1216 Other Flavonoids,C08993  Vignafuran,C08993,C16H14O4
129,PK  Polyketides,PK12 Flavonoids,PK1216 Other Flavonoids,C08974  Sainfuran,C08974,C16H14O5
130,PK  Polyketides,PK13 Aromatic polyketides,PK1312 Other aromatic polyketides,C07578  Cannabidiol,C07578,C21H30O2
131,PK  Polyketides,PK13 Aromatic polyketides,PK1312 Other aromatic polyketides,C07580  Cannabinol,C07580,C21H26O2
132,PK  Polyketides,PK13 Aromatic polyketides,PK1312 Other aromatic polyketides,C10784  Cannabidiolic acid,C10784,C22H30O4
